term,definition,domain
yesterday,"A practical English term meaning dün, used in daily work-life communication.",general-english
paper,"A practical English term meaning kâğıt / makale, used in daily work-life communication.",general-english
about,"A practical English term meaning hakkında, used in daily work-life communication.",general-english
above,"A practical English term meaning üstünde / yukarıda, used in daily work-life communication.",general-english
after,"A practical English term meaning sonra, used in daily work-life communication.",general-english
again,"A practical English term meaning tekrar, used in daily work-life communication.",general-english
all,"A practical English term meaning tüm / hepsi, used in daily work-life communication.",general-english
always,"An adverb meaning “her zaman”, used to describe how or when an action is done.",general-english
and,"A practical English term meaning ve, used in daily work-life communication.",general-english
anything,"A practical English term meaning herhangi bir şey, used in daily work-life communication.",general-english
bad,"A practical English term meaning kötü, used in daily work-life communication.",general-english
basic,"An adjective meaning “temel”, used to describe a condition, issue, status or requirement.",general-english
before,"A practical English term meaning önce, used in daily work-life communication.",general-english
behind,"A practical English term meaning arkasında, used in daily work-life communication.",general-english
below,"A practical English term meaning altında / aşağıda, used in daily work-life communication.",general-english
better,"A practical English term meaning daha iyi, used in daily work-life communication.",general-english
between,"A practical English term meaning arasında, used in daily work-life communication.",general-english
common,"An adjective meaning “ortak / yaygın”, used to describe a condition, issue, status or requirement.",general-english
difficult,"A practical English term meaning zor, used in daily work-life communication.",general-english
double,"A practical English term meaning çift, used in daily work-life communication.",general-english
easy,"A practical English term meaning kolay, used in daily work-life communication.",general-english
else,"A practical English term meaning başka, used in daily work-life communication.",general-english
far,"A practical English term meaning uzak, used in daily work-life communication.",general-english
fast,"A practical English term meaning hızlı, used in daily work-life communication.",general-english
front,"A practical English term meaning ön, used in daily work-life communication.",general-english
half,"A practical English term meaning yarım, used in daily work-life communication.",general-english
important,"An adjective meaning “önemli”, used to describe a condition, issue, status or requirement.",general-english
inside,"A practical English term meaning içinde / iç taraf, used in daily work-life communication.",general-english
large,"A practical English term meaning büyük, used in daily work-life communication.",general-english
late,"A practical English term meaning geç, used in daily work-life communication.",general-english
little,"A practical English term meaning az / küçük, used in daily work-life communication.",general-english
low,"A practical English term meaning düşük, used in daily work-life communication.",general-english
normal,"An adjective meaning “normal”, used to describe a condition, issue, status or requirement.",general-english
often,"An adverb meaning “sık sık”, used to describe how or when an action is done.",general-english
open,"To open something in a work, site or daily communication context.",general-english
outside,"A practical English term meaning dışında / dışarıda, used in daily work-life communication.",general-english
short,"A practical English term meaning kısa, used in daily work-life communication.",general-english
single,"A practical English term meaning tek, used in daily work-life communication.",general-english
sometimes,"An adverb meaning “bazen”, used to describe how or when an action is done.",general-english
usually,"An adverb meaning “genellikle”, used to describe how or when an action is done.",general-english
without,"A practical English term meaning olmadan, used in daily work-life communication.",general-english
black,"A practical English term meaning siyah / blackout bağlamı, used in daily work-life communication.",general-english
bus,"A travel English term meaning bara / bus hattı, used for airport, hotel, taxi, restaurant or relocation situations.",general-english
car,"A travel English term meaning araç / kabin, used for airport, hotel, taxi, restaurant or relocation situations.",general-english
child,"A practical English term meaning çocuk, used in daily work-life communication.",general-english
city,"A practical English term meaning şehir / şehir şebekesi, used in daily work-life communication.",general-english
coffee,"A social and cultural English term meaning kahve, used in small talk, casual conversation or culture discussions.",general-english
computer,"A practical English term meaning bilgisayar, used in daily work-life communication.",general-english
first,"A practical English term meaning ilk / birinci, used in daily work-life communication.",general-english
full,"A practical English term meaning tam, used in daily work-life communication.",general-english
green,"A practical English term meaning yeşil, used in daily work-life communication.",general-english
high,"A practical English term meaning yüksek, used in daily work-life communication.",general-english
internet,"A practical English term meaning internet, used in daily work-life communication.",general-english
long,"A practical English term meaning uzun, used in daily work-life communication.",general-english
lunch,"A practical English term meaning öğle yemeği, used in daily work-life communication.",general-english
mobile,"A practical English term meaning mobil, used in daily work-life communication.",general-english
number,"A practical English term meaning sayı / adet, used in daily work-life communication.",general-english
off,"A practical English term meaning kapalı / devre dışı, used in daily work-life communication.",general-english
out,"A practical English term meaning dışarı / çıkış, used in daily work-life communication.",general-english
same,"A practical English term meaning aynı, used in daily work-life communication.",general-english
side,"A practical English term meaning taraf / yan, used in daily work-life communication.",general-english
small,"A practical English term meaning küçük, used in daily work-life communication.",general-english
staff,"A practical English term meaning personel, used in daily work-life communication.",general-english
start,"To start something in a work, site or daily communication context.",general-english
stop,"To stop something in a work, site or daily communication context.",general-english
taxi,"A travel English term meaning taksi, used for airport, hotel, taxi, restaurant or relocation situations.",general-english
three,"A practical English term meaning üç, used in daily work-life communication.",general-english
time,"A practical English term meaning zaman / süre, used in daily work-life communication.",general-english
two,"A practical English term meaning iki, used in daily work-life communication.",general-english
up,"A practical English term meaning yukarı / devrede, used in daily work-life communication.",general-english
use,"To use something in a work, site or daily communication context.",general-english
way,"A practical English term meaning yol / yön, used in daily work-life communication.",general-english
white,"A practical English term meaning beyaz, used in daily work-life communication.",general-english
care,"A practical English term meaning bakım / önemsemek, used in daily work-life communication.",general-english
doctor,"A practical English term meaning doktor, used in daily work-life communication.",general-english
health,"A practical English term meaning sağlık, used in daily work-life communication.",general-english
hospital,"An adjective meaning “hastane”, used to describe a condition, issue, status or requirement.",general-english
nurse,"A practical English term meaning hemşire, used in daily work-life communication.",general-english
patient,"An adjective meaning “hasta”, used to describe a condition, issue, status or requirement.",general-english
apartment,"An adjective meaning “apartman / daire”, used to describe a condition, issue, status or requirement.",general-english
bath,"A practical English term meaning banyo / küvet, used in daily work-life communication.",general-english
bathroom,"A practical English term meaning banyo, used in daily work-life communication.",general-english
bed,"A practical English term meaning yatak, used in daily work-life communication.",general-english
bedroom,"A practical English term meaning yatak odası, used in daily work-life communication.",general-english
blanket,"A practical English term meaning battaniye, used in daily work-life communication.",general-english
chair,"A practical English term meaning sandalye, used in daily work-life communication.",general-english
home,"A practical English term meaning ev, used in daily work-life communication.",general-english
kitchen,"A practical English term meaning mutfak, used in daily work-life communication.",general-english
mirror,"A practical English term meaning ayna, used in daily work-life communication.",general-english
sofa,"A practical English term meaning koltuk, used in daily work-life communication.",general-english
stove,"A practical English term meaning ocak, used in daily work-life communication.",general-english
toilet,"A practical English term meaning tuvalet, used in daily work-life communication.",general-english
course,"An education and learning term meaning kurs / süreç, used for self-study, courses or technical learning.",general-english
learn,"To learn something in a work, site or daily communication context.",general-english
lesson,"An education and learning term meaning ders, used for self-study, courses or technical learning.",general-english
meaning,"A practical English term meaning anlam, used in daily work-life communication.",general-english
mistake,"A practical English term meaning hata, used in daily work-life communication.",general-english
sentence,"A practical English term meaning cümle, used in daily work-life communication.",general-english
student,"An adjective meaning “öğrenci”, used to describe a condition, issue, status or requirement.",general-english
hundred,"A practical English term meaning yüz, used in daily work-life communication.",general-english
level,"A practical English term meaning seviye, used in daily work-life communication.",general-english
strong,"A practical English term meaning güçlü / sağlam, used in daily work-life communication.",general-english
area,"A practical English term meaning alan / bölge, used in daily work-life communication.",general-english
center,"A practical English term meaning merkez, used in daily work-life communication.",general-english
centre,"A practical English term meaning merkez, used in daily work-life communication.",general-english
group,"A practical English term meaning grup, used in daily work-life communication.",general-english
station,"A practical English term meaning istasyon, used in daily work-life communication.",general-english
afraid,"A practical English term meaning korkmuş, used in daily work-life communication.",general-english
beautiful,"An adjective meaning “güzel”, used to describe a condition, issue, status or requirement.",general-english
cafe,"A practical English term meaning kafe, used in daily work-life communication.",general-english
cinema,"A practical English term meaning sinema, used in daily work-life communication.",general-english
friend,"A social and cultural English term meaning arkadaş, used in small talk, casual conversation or culture discussions.",general-english
guest,"A practical English term meaning misafir, used in daily work-life communication.",general-english
holiday,"A practical English term meaning tatil, used in daily work-life communication.",general-english
people,"A practical English term meaning insanlar, used in daily work-life communication.",general-english
weekend,"A practical English term meaning hafta sonu, used in daily work-life communication.",general-english
system,"A practical English term meaning sistem, used in daily work-life communication.",general-english
tool,"A practical English term meaning alet, used in daily work-life communication.",general-english
airport,"A travel English term meaning havaalanı, used for airport, hotel, taxi, restaurant or relocation situations.",general-english
arrival,"An adjective meaning “varış”, used to describe a condition, issue, status or requirement.",general-english
backpack,"A practical English term meaning sırt çantası, used in daily work-life communication.",general-english
bike,"A practical English term meaning bisiklet, used in daily work-life communication.",general-english
book,"An education and learning term meaning kitap / rezervasyon yapmak, used for self-study, courses or technical learning.",general-english
departure,"A travel English term meaning kalkış / ayrılış, used for airport, hotel, taxi, restaurant or relocation situations.",general-english
flight,"A travel English term meaning uçuş, used for airport, hotel, taxi, restaurant or relocation situations.",general-english
hotel,"A travel English term meaning otel, used for airport, hotel, taxi, restaurant or relocation situations.",general-english
parking,"A practical English term meaning otopark, used in daily work-life communication.",general-english
passenger,"A practical English term meaning yolcu, used in daily work-life communication.",general-english
passport,"A travel English term meaning pasaport, used for airport, hotel, taxi, restaurant or relocation situations.",general-english
return,"To return something in a work, site or daily communication context.",general-english
ticket,"A travel English term meaning bilet / kayıt, used for airport, hotel, taxi, restaurant or relocation situations.",general-english
traffic,"An adjective meaning “trafik”, used to describe a condition, issue, status or requirement.",general-english
travel,"To travel something in a work, site or daily communication context.",general-english
vacation,"A practical English term meaning tatil, used in daily work-life communication.",general-english
village,"A practical English term meaning köy, used in daily work-life communication.",general-english
visit,"To visit something in a work, site or daily communication context.",general-english
weather,"A practical English term meaning hava durumu, used in daily work-life communication.",general-english
break,"A practical English term meaning ara / kırmak, used in daily work-life communication.",general-english
busy,"A practical English term meaning meşgul / yoğun, used in daily work-life communication.",general-english
desk,"A practical English term meaning masa / banko, used in daily work-life communication.",general-english
engineer,"A practical English term meaning mühendis, used in daily work-life communication.",general-english
office,"A practical English term meaning ofis, used in daily work-life communication.",general-english
work,"To work something in a work, site or daily communication context.",general-english
workplace,"A practical English term meaning iş yeri, used in daily work-life communication.",general-english
near,"A hse term meaning yakın, used in inspections, testing, safety or handover communication.",hse
helmet,"A hse term meaning baret, used in inspections, testing, safety or handover communication.",hse
dirty,"A hse term meaning kirli, used in inspections, testing, safety or handover communication.",hse
exit,"A hse term meaning çıkış, used in inspections, testing, safety or handover communication.",hse
fire,"A hse term meaning yangın, used in inspections, testing, safety or handover communication.",hse
life,"A hse term meaning yaşam / can, used in inspections, testing, safety or handover communication.",hse
heavy,"A hse term meaning ağır, used in inspections, testing, safety or handover communication.",hse
careful,"An adjective meaning “dikkatli”, used to describe a condition, issue, status or requirement.",hse
danger,"A hse term meaning tehlike, used in inspections, testing, safety or handover communication.",hse
dangerous,"An adjective meaning “tehlikeli”, used to describe a condition, issue, status or requirement.",hse
safe,"An adjective meaning “güvenli”, used to describe a condition, issue, status or requirement.",hse
air,"A mechanical term meaning hava, used in site, drawing, installation or coordination contexts.",mechanical
cold,"A mechanical term meaning soğuk, used in site, drawing, installation or coordination contexts.",mechanical
hot,"A mechanical term meaning sıcak, used in site, drawing, installation or coordination contexts.",mechanical
gas,"A mechanical term meaning gaz, used in site, drawing, installation or coordination contexts.",mechanical
speed,"A mechanical term meaning hız, used in site, drawing, installation or coordination contexts.",mechanical
water,"A mechanical term meaning su, used in site, drawing, installation or coordination contexts.",mechanical
cheap,"A professional workplace term meaning ucuz, used in reports, meetings, emails or project coordination.",EngGen
expensive,"An adjective meaning “pahalı”, used to describe a condition, issue, status or requirement.",EngGen
price,"A professional workplace term meaning fiyat, used in reports, meetings, emails or project coordination.",EngGen
shelf,"A professional workplace term meaning raf, used in reports, meetings, emails or project coordination.",EngGen
make,"To make something in a work, site or daily communication context.",EngGen
model,"A professional workplace term meaning model, used in reports, meetings, emails or project coordination.",EngGen
letter,"A professional workplace term meaning mektup / harf, used in reports, meetings, emails or project coordination.",EngGen
note,"A professional workplace term meaning not, used in reports, meetings, emails or project coordination.",EngGen
list,"A professional workplace term meaning liste, used in reports, meetings, emails or project coordination.",EngGen
sheet,"A professional workplace term meaning sayfa / levha, used in reports, meetings, emails or project coordination.",EngGen
project,"A professional workplace term meaning proje, used in reports, meetings, emails or project coordination.",EngGen
leave,"To leave something in a work, site or daily communication context.",EngGen
meeting,"A professional workplace term meaning toplantı, used in reports, meetings, emails or project coordination.",EngGen
minute,"A professional workplace term meaning tutanak / dakika, used in reports, meetings, emails or project coordination.",EngGen
beginning,"A professional workplace term meaning başlangıç, used in reports, meetings, emails or project coordination.",EngGen
early,"An adverb meaning “erken”, used to describe how or when an action is done.",EngGen
future,"A professional workplace term meaning gelecek, used in reports, meetings, emails or project coordination.",EngGen
situation,"A professional workplace term meaning durum, used in reports, meetings, emails or project coordination.",EngGen
worker,"A professional workplace term meaning işçi / çalışan, used in reports, meetings, emails or project coordination.",EngGen
company,"A professional workplace term meaning şirket, used in reports, meetings, emails or project coordination.",EngGen
customer,"A professional workplace term meaning müşteri, used in reports, meetings, emails or project coordination.",EngGen
team,"A professional workplace term meaning ekip, used in reports, meetings, emails or project coordination.",EngGen
check,"To check something in a work, site or daily communication context.",EngGen
checked,"A qa qc term meaning kontrol edilmiş, used in inspections, testing, safety or handover communication.",EngGen
checking,"A qa qc term meaning kontrol etme, used in inspections, testing, safety or handover communication.",EngGen
computer room,"A architecture term meaning computer odası, used in site, drawing, installation or coordination contexts.",architecture
control room,"A architecture term meaning kontrol odası, used in site, drawing, installation or coordination contexts.",architecture
emergency room,"A architecture term meaning acil odası, used in site, drawing, installation or coordination contexts.",architecture
meeting room,"A architecture term meaning toplantı odası, used in site, drawing, installation or coordination contexts.",architecture
architect,"A architecture term meaning mimar, used in site, drawing, installation or coordination contexts.",architecture
design,"A architecture term meaning tasarım / tasarlamak, used in site, drawing, installation or coordination contexts.",architecture
distance,"A architecture term meaning mesafe, used in site, drawing, installation or coordination contexts.",architecture
vertical,"An adjective meaning “dikey”, used to describe a condition, issue, status or requirement.",architecture
dimension,"A architecture term meaning ölçü / boyut, used in site, drawing, installation or coordination contexts.",architecture
drawing,"A architecture term meaning çizim, used in site, drawing, installation or coordination contexts.",architecture
surface,"A architecture term meaning yüzey, used in site, drawing, installation or coordination contexts.",architecture
outdoor,"A architecture term meaning dış mekân, used in site, drawing, installation or coordination contexts.",architecture
basement,"An adjective meaning “bodrum”, used to describe a condition, issue, status or requirement.",architecture
block,"A architecture term meaning blok / engellemek, used in site, drawing, installation or coordination contexts.",architecture
indoor,"A architecture term meaning iç mekân, used in site, drawing, installation or coordination contexts.",architecture
lobby,"A architecture term meaning lobi, used in site, drawing, installation or coordination contexts.",architecture
location,"A architecture term meaning konum / mahal, used in site, drawing, installation or coordination contexts.",architecture
zone,"A architecture term meaning bölge / zon, used in site, drawing, installation or coordination contexts.",architecture
finish,"To finish something in a work, site or daily communication context.",civil
construction,"A civil term meaning inşaat, used in site, drawing, installation or coordination contexts.",civil
crane,"A civil term meaning vinç, used in site, drawing, installation or coordination contexts.",civil
paint,"A civil term meaning boyamak, used in site, drawing, installation or coordination contexts.",civil
painted,"A civil term meaning boyanmış, used in site, drawing, installation or coordination contexts.",civil
painting,"A civil term meaning boyama, used in site, drawing, installation or coordination contexts.",civil
bridge,"A civil term meaning köprü, used in site, drawing, installation or coordination contexts.",civil
cut,"A civil term meaning kesilmiş, used in site, drawing, installation or coordination contexts.",civil
cutting,"A civil term meaning kesme, used in site, drawing, installation or coordination contexts.",civil
fix,"To fix something in a work, site or daily communication context.",civil
fixed,"A civil term meaning sabit / düzeltilmiş, used in site, drawing, installation or coordination contexts.",civil
fixing,"A civil term meaning sabitleme / düzeltme, used in site, drawing, installation or coordination contexts.",civil
bolt,"A civil term meaning cıvata, used in site, drawing, installation or coordination contexts.",civil
plate,"A civil term meaning plaka / levha, used in site, drawing, installation or coordination contexts.",civil
steel,"A civil term meaning çelik, used in site, drawing, installation or coordination contexts.",civil
column,"A civil term meaning kolon / sütun, used in site, drawing, installation or coordination contexts.",civil
concrete,"A civil term meaning beton, used in site, drawing, installation or coordination contexts.",civil
structure,"A civil term meaning yapı / strüktür, used in site, drawing, installation or coordination contexts.",civil
operate,"A commissioning term meaning işletmek / çalıştırmak, used in inspections, testing, safety or handover communication.",EngGen
operated,"A commissioning term meaning çalıştırılmış, used in inspections, testing, safety or handover communication.",EngGen
operating,"A commissioning term meaning işletme / çalıştırma, used in inspections, testing, safety or handover communication.",EngGen
operation,"A commissioning term meaning işletme / çalışma, used in inspections, testing, safety or handover communication.",EngGen
operator,"A commissioning term meaning operatör, used in inspections, testing, safety or handover communication.",EngGen
measure,"To measure something in a work, site or daily communication context.",EngGen
measured,"A commissioning term meaning ölçülmüş, used in inspections, testing, safety or handover communication.",EngGen
measurement,"An adjective meaning “ölçüm”, used to describe a condition, issue, status or requirement.",EngGen
measuring,"A commissioning term meaning ölçme, used in inspections, testing, safety or handover communication.",EngGen
set,"A commissioning term meaning ayarlanmış, used in inspections, testing, safety or handover communication.",EngGen
setting,"A commissioning term meaning ayarlama / kurma, used in inspections, testing, safety or handover communication.",EngGen
test,"To test something in a work, site or daily communication context.",EngGen
tested,"A commissioning term meaning test edilmiş, used in inspections, testing, safety or handover communication.",EngGen
testing,"A commissioning term meaning test etme, used in inspections, testing, safety or handover communication.",EngGen
speaker,"A electrical term meaning hoparlör / konuşmacı, used in site, drawing, installation or coordination contexts.",electrical
network,"A electrical term meaning ağ / şebeke, used in site, drawing, installation or coordination contexts.",electrical
router,"A electrical term meaning router / yönlendirici, used in site, drawing, installation or coordination contexts.",electrical
battery,"A electrical term meaning akü / batarya, used in site, drawing, installation or coordination contexts.",electrical
charge,"A electrical term meaning ücret / şarj etmek, used in site, drawing, installation or coordination contexts.",electrical
ladder,"A electrical term meaning merdiven / kablo merdiveni, used in site, drawing, installation or coordination contexts.",electrical
pull,"A electrical term meaning çekmek, used in site, drawing, installation or coordination contexts.",electrical
pulled,"A electrical term meaning çekilmiş, used in site, drawing, installation or coordination contexts.",electrical
pulling,"A electrical term meaning çekme, used in site, drawing, installation or coordination contexts.",electrical
cable,"An adjective meaning “kablo”, used to describe a condition, issue, status or requirement.",electrical
flexible,"An adjective meaning “esnek”, used to describe a condition, issue, status or requirement.",electrical
screen,"A electrical term meaning ekran / zırh ekranı, used in site, drawing, installation or coordination contexts.",electrical
section,"A electrical term meaning kesit / bölüm, used in site, drawing, installation or coordination contexts.",electrical
voice,"A electrical term meaning ses, used in site, drawing, installation or coordination contexts.",electrical
contact,"A electrical term meaning kontak / iletişim, used in site, drawing, installation or coordination contexts.",electrical
device,"A electrical term meaning cihaz, used in site, drawing, installation or coordination contexts.",electrical
control,"A electrical term meaning kontrol, used in site, drawing, installation or coordination contexts.",electrical
display,"A electrical term meaning ekran / göstermek, used in site, drawing, installation or coordination contexts.",electrical
input,"A electrical term meaning giriş, used in site, drawing, installation or coordination contexts.",electrical
sensor,"A electrical term meaning sensör, used in site, drawing, installation or coordination contexts.",electrical
signal,"An adjective meaning “sinyal”, used to describe a condition, issue, status or requirement.",electrical
diagram,"A electrical term meaning diyagram / şema, used in site, drawing, installation or coordination contexts.",electrical
earth,"A electrical term meaning toprak / topraklamak, used in site, drawing, installation or coordination contexts.",electrical
heat,"A electrical term meaning ısı / sıcaklık, used in site, drawing, installation or coordination contexts.",electrical
smoke,"A electrical term meaning duman, used in site, drawing, installation or coordination contexts.",electrical
safety cable,"A electrical term meaning Emniyet/Güvenlik Kablosu, used in site, drawing, installation or coordination contexts.",electrical
equipment,"An adjective meaning “ekipman”, used to describe a condition, issue, status or requirement.",electrical
fail,"A electrical term meaning arızalanmak / başarısız olmak, used in site, drawing, installation or coordination contexts.",electrical
failed,"A electrical term meaning arızalı / başarısız, used in site, drawing, installation or coordination contexts.",electrical
failing,"A electrical term meaning arızalanma / başarısız olma, used in site, drawing, installation or coordination contexts.",electrical
failure,"A electrical term meaning arıza / başarısızlık, used in site, drawing, installation or coordination contexts.",electrical
alarm,"A electrical term meaning alarm, used in site, drawing, installation or coordination contexts.",electrical
electric,"An adjective meaning “elektrikli”, used to describe a condition, issue, status or requirement.",electrical
electrical,"An adjective meaning “elektriksel / elektrik”, used to describe a condition, issue, status or requirement.",electrical
adapter,"A electrical term meaning adaptör, used in site, drawing, installation or coordination contexts.",electrical
charger,"A electrical term meaning şarj cihazı, used in site, drawing, installation or coordination contexts.",electrical
doorbell,"A electrical term meaning kapı zili, used in site, drawing, installation or coordination contexts.",electrical
smoke alarm,"A electrical term meaning duman alarmı, used in site, drawing, installation or coordination contexts.",electrical
connect,"To connect something in a work, site or daily communication context.",electrical
connected,"A electrical term meaning bağlı / bağlanmış, used in site, drawing, installation or coordination contexts.",electrical
connecting,"A electrical term meaning bağlama, used in site, drawing, installation or coordination contexts.",electrical
connection,"A electrical term meaning bağlantı, used in site, drawing, installation or coordination contexts.",electrical
install,"To install something in a work, site or daily communication context.",electrical
installation,"A electrical term meaning kurulum / montaj, used in site, drawing, installation or coordination contexts.",electrical
installed,"A electrical term meaning kurulmuş / monte edilmiş, used in site, drawing, installation or coordination contexts.",electrical
installing,"A electrical term meaning kurma / monte etme, used in site, drawing, installation or coordination contexts.",electrical
clip,"A electrical term meaning klips, used in site, drawing, installation or coordination contexts.",electrical
driver,"A electrical term meaning sürücü / driver, used in site, drawing, installation or coordination contexts.",electrical
led,"A electrical term meaning LED / ışık yayan diyot, used in site, drawing, installation or coordination contexts.",electrical
lighting,"A electrical term meaning aydınlatma, used in site, drawing, installation or coordination contexts.",electrical
daylight,"A electrical term meaning gün ışığı, used in site, drawing, installation or coordination contexts.",electrical
load,"A electrical term meaning yük, used in site, drawing, installation or coordination contexts.",electrical
aluminium,"A electrical term meaning alüminyum, used in site, drawing, installation or coordination contexts.",electrical
aluminum,"A electrical term meaning alüminyum, used in site, drawing, installation or coordination contexts.",electrical
copper,"A electrical term meaning bakır, used in site, drawing, installation or coordination contexts.",electrical
meter,"A electrical term meaning sayaç / metre, used in site, drawing, installation or coordination contexts.",electrical
monitor,"A electrical term meaning izlemek, used in site, drawing, installation or coordination contexts.",electrical
monitored,"A electrical term meaning izlenmiş, used in site, drawing, installation or coordination contexts.",electrical
monitoring,"A electrical term meaning izleme, used in site, drawing, installation or coordination contexts.",electrical
monitorring,"A electrical term meaning izleme, used in site, drawing, installation or coordination contexts.",electrical
board,"A electrical term meaning pano / tahta, used in site, drawing, installation or coordination contexts.",electrical
cabinet,"A electrical term meaning kabin / dolap, used in site, drawing, installation or coordination contexts.",electrical
panel,"A electrical term meaning pano / panel, used in site, drawing, installation or coordination contexts.",electrical
ampere,"A electrical term meaning amper, used in site, drawing, installation or coordination contexts.",electrical
current,"An adjective meaning “akım / mevcut”, used to describe a condition, issue, status or requirement.",electrical
