term,definition,category
failed,"A electrical term meaning arızalı / başarısız, used in site, drawing, installation or coordination contexts.",faults
failing,"A electrical term meaning arızalanma / başarısız olma, used in site, drawing, installation or coordination contexts.",faults
failure,"A electrical term meaning arıza / başarısızlık, used in site, drawing, installation or coordination contexts.",faults
alarm,"A electrical term meaning alarm, used in site, drawing, installation or coordination contexts.",fire alarm & life safety
electric,"An adjective meaning “elektrikli”, used to describe a condition, issue, status or requirement.",general electrical
electrical,"An adjective meaning “elektriksel / elektrik”, used to describe a condition, issue, status or requirement.",general electrical
adapter,"A electrical term meaning adaptör, used in site, drawing, installation or coordination contexts.",home electrical
charger,"A electrical term meaning şarj cihazı, used in site, drawing, installation or coordination contexts.",home electrical
doorbell,"A electrical term meaning kapı zili, used in site, drawing, installation or coordination contexts.",home electrical
smoke alarm,"A electrical term meaning duman alarmı, used in site, drawing, installation or coordination contexts.",home electrical
connect,"To connect something in a work, site or daily communication context.",installation
connected,"A electrical term meaning bağlı / bağlanmış, used in site, drawing, installation or coordination contexts.",installation
connecting,"A electrical term meaning bağlama, used in site, drawing, installation or coordination contexts.",installation
connection,"A electrical term meaning bağlantı, used in site, drawing, installation or coordination contexts.",installation
install,"To install something in a work, site or daily communication context.",installation
installation,"A electrical term meaning kurulum / montaj, used in site, drawing, installation or coordination contexts.",installation
installed,"A electrical term meaning kurulmuş / monte edilmiş, used in site, drawing, installation or coordination contexts.",installation
installing,"A electrical term meaning kurma / monte etme, used in site, drawing, installation or coordination contexts.",installation
clip,"A electrical term meaning klips, used in site, drawing, installation or coordination contexts.",installation materials
driver,"A electrical term meaning sürücü / driver, used in site, drawing, installation or coordination contexts.",lighting
led,"A electrical term meaning LED / ışık yayan diyot, used in site, drawing, installation or coordination contexts.",lighting
lighting,"A electrical term meaning aydınlatma, used in site, drawing, installation or coordination contexts.",lighting
daylight,"A electrical term meaning gün ışığı, used in site, drawing, installation or coordination contexts.",lighting controls
load,"A electrical term meaning yük, used in site, drawing, installation or coordination contexts.",load calculations
aluminium,"A electrical term meaning alüminyum, used in site, drawing, installation or coordination contexts.",materials
aluminum,"A electrical term meaning alüminyum, used in site, drawing, installation or coordination contexts.",materials
copper,"A electrical term meaning bakır, used in site, drawing, installation or coordination contexts.",materials
meter,"A electrical term meaning sayaç / metre, used in site, drawing, installation or coordination contexts.",metering
monitor,"A electrical term meaning izlemek, used in site, drawing, installation or coordination contexts.",monitoring
monitored,"A electrical term meaning izlenmiş, used in site, drawing, installation or coordination contexts.",monitoring
monitoring,"A electrical term meaning izleme, used in site, drawing, installation or coordination contexts.",monitoring
monitorring,"A electrical term meaning izleme, used in site, drawing, installation or coordination contexts.",monitoring
board,"A electrical term meaning pano / tahta, used in site, drawing, installation or coordination contexts.",panelboards
cabinet,"A electrical term meaning kabin / dolap, used in site, drawing, installation or coordination contexts.",panelboards
panel,"A electrical term meaning pano / panel, used in site, drawing, installation or coordination contexts.",panelboards
ampere,"A electrical term meaning amper, used in site, drawing, installation or coordination contexts.",parameters
current,"An adjective meaning “akım / mevcut”, used to describe a condition, issue, status or requirement.",parameters
hertz,"A electrical term meaning hertz, used in site, drawing, installation or coordination contexts.",parameters
kilowatt,"A electrical term meaning kilowatt, used in site, drawing, installation or coordination contexts.",parameters
output,"A electrical term meaning çıkış, used in site, drawing, installation or coordination contexts.",parameters
voltage,"A electrical term meaning gerilim / voltaj, used in site, drawing, installation or coordination contexts.",parameters
watt,"A electrical term meaning watt, used in site, drawing, installation or coordination contexts.",parameters
bar,"A electrical term meaning çubuk / bara, used in site, drawing, installation or coordination contexts.",power distribution
energy,"A electrical term meaning enerji, used in site, drawing, installation or coordination contexts.",power distribution
main,"A electrical term meaning ana, used in site, drawing, installation or coordination contexts.",power distribution
outlet,"A electrical term meaning priz / çıkış, used in site, drawing, installation or coordination contexts.",power distribution
power,"A electrical term meaning güç / enerji, used in site, drawing, installation or coordination contexts.",power distribution
source,"A electrical term meaning kaynak, used in site, drawing, installation or coordination contexts.",power supply
supply,"An adverb meaning “besleme / tedarik”, used to describe how or when an action is done.",power supply
fuse,"A electrical term meaning sigorta, used in site, drawing, installation or coordination contexts.",protection
security,"A electrical term meaning güvenlik, used in site, drawing, installation or coordination contexts.",security systems
electrician,"A electrical term meaning elektrikçi, used in site, drawing, installation or coordination contexts.",site team
dome,"A electrical term meaning kubbe / dome, used in site, drawing, installation or coordination contexts.",ELV systems
IP,IP is an acronym used in electrical communication.,IT & networks
LAN,LAN is an acronym used in electrical communication.,IT & networks
patch,"A electrical term meaning patch / bağlantı kablosu, used in site, drawing, installation or coordination contexts.",IT & networks
final circuit,"A electrical term meaning final devre, used in site, drawing, installation or coordination contexts.",MEP
UPS,UPS is an acronym used in electrical communication.,UPS & batteries
cell,"A electrical term meaning hücre, used in site, drawing, installation or coordination contexts.",batteries & panels
BMS,BMS is an acronym used in electrical communication.,building management system
conduit,"A electrical term meaning boru / kablo borusu, used in site, drawing, installation or coordination contexts.",cable containment
junction,"A electrical term meaning ek / bağlantı noktası, used in site, drawing, installation or coordination contexts.",cable containment
laid,"A electrical term meaning döşenmiş, used in site, drawing, installation or coordination contexts.",cable containment
lay,"A electrical term meaning döşemek, used in site, drawing, installation or coordination contexts.",cable containment
laying,"A electrical term meaning döşeme, used in site, drawing, installation or coordination contexts.",cable containment
route,"A electrical term meaning güzergâhlamak / yönlendirmek, used in site, drawing, installation or coordination contexts.",cable containment
routed,"A electrical term meaning güzergâhlandırılmış, used in site, drawing, installation or coordination contexts.",cable containment
routing,"A electrical term meaning güzergâhlama / yönlendirme, used in site, drawing, installation or coordination contexts.",cable containment
tray,"A electrical term meaning tava / kablo tavası, used in site, drawing, installation or coordination contexts.",cable containment
bend,"A electrical term meaning dirsek / büküm, used in site, drawing, installation or coordination contexts.",cable installation
bending,"A electrical term meaning bükme, used in site, drawing, installation or coordination contexts.",cable installation
core,"A electrical term meaning damar / çekirdek, used in site, drawing, installation or coordination contexts.",cables
branch,"A electrical term meaning branş / kol devre, used in site, drawing, installation or coordination contexts.",circuits
circuit,"A electrical term meaning devre, used in site, drawing, installation or coordination contexts.",circuits
healthcare access control,"A electrical term meaning sağlık tesisi erişim kontrolü, used in site, drawing, installation or coordination contexts.",clinical systems
hospital access control,"A electrical term meaning hastane erişim kontrolü, used in site, drawing, installation or coordination contexts.",clinical systems
medical access control,"A electrical term meaning medikal erişim kontrolü, used in site, drawing, installation or coordination contexts.",clinical systems
graphic,"An adjective meaning “grafik”, used to describe a condition, issue, status or requirement.",communication / ELV
workstation,"A electrical term meaning iş istasyonu, used in site, drawing, installation or coordination contexts.",communication / ELV
antenna,"A electrical term meaning anten, used in site, drawing, installation or coordination contexts.",communication systems
broadcast,"A electrical term meaning yayın, used in site, drawing, installation or coordination contexts.",communication systems
channel,"A electrical term meaning kanal, used in site, drawing, installation or coordination contexts.",communication systems
component,"An adjective meaning “bileşen”, used to describe a condition, issue, status or requirement.",components
connector,"A electrical term meaning konnektör / bağlantı elemanı, used in site, drawing, installation or coordination contexts.",components
automatic,"An adjective meaning “otomatik”, used to describe a condition, issue, status or requirement.",controls
automatically,"An adverb meaning “otomatik olarak”, used to describe how or when an action is done.",controls
automation,"A electrical term meaning otomasyon, used in site, drawing, installation or coordination contexts.",controls
enabled,"A electrical term meaning etkinleştirilmiş, used in site, drawing, installation or coordination contexts.",controls
indicator,"A electrical term meaning gösterge, used in site, drawing, installation or coordination contexts.",controls
module,"A electrical term meaning modül, used in site, drawing, installation or coordination contexts.",controls
variable,"An adjective meaning “değişken”, used to describe a condition, issue, status or requirement.",controls
rack,"A electrical term meaning rack / kabin, used in site, drawing, installation or coordination contexts.",data center
calculate,"A electrical term meaning hesaplamak, used in site, drawing, installation or coordination contexts.",design calculations
calculated,"A electrical term meaning hesaplanmış, used in site, drawing, installation or coordination contexts.",design calculations
calculating,"A electrical term meaning hesaplama, used in site, drawing, installation or coordination contexts.",design calculations
calculation,"A electrical term meaning hesap, used in site, drawing, installation or coordination contexts.",design calculations
size,"A electrical term meaning boyutlandırmak, used in site, drawing, installation or coordination contexts.",design calculations
sized,"A electrical term meaning boyutlandırılmış, used in site, drawing, installation or coordination contexts.",design calculations
sizing,"A electrical term meaning boyutlandırma, used in site, drawing, installation or coordination contexts.",design calculations
reserve,"A electrical term meaning yedek / rezerv, used in site, drawing, installation or coordination contexts.",design criteria
scheme,"A electrical term meaning şema / düzen, used in site, drawing, installation or coordination contexts.",drawings
earthing,"A electrical term meaning topraklama, used in site, drawing, installation or coordination contexts.",earthing & bonding
ground,"A electrical term meaning topraklamak, used in site, drawing, installation or coordination contexts.",earthing & bonding
grounded,"A electrical term meaning topraklanmış, used in site, drawing, installation or coordination contexts.",earthing & bonding
grounding,"A electrical term meaning topraklama, used in site, drawing, installation or coordination contexts.",earthing & bonding
rod,"A electrical term meaning çubuk / elektrot, used in site, drawing, installation or coordination contexts.",earthing & bonding
coupler,"A electrical term meaning kuplör / bağlayıcı, used in site, drawing, installation or coordination contexts.",electrical components
earthquake,"A electrical term meaning deprem, used in site, drawing, installation or coordination contexts.",electrical components
feed,"A electrical term meaning besleme, used in site, drawing, installation or coordination contexts.",electrical components
gear,"A electrical term meaning dişli / mekanizma, used in site, drawing, installation or coordination contexts.",electrical components
halogen,"A electrical term meaning halojen, used in site, drawing, installation or coordination contexts.",electrical components
lineup,"A electrical term meaning hücre dizisi / pano sıralaması, used in site, drawing, installation or coordination contexts.",electrical components
motion,"A electrical term meaning hareket, used in site, drawing, installation or coordination contexts.",electrical components
motorized,"A electrical term meaning motorlu, used in site, drawing, installation or coordination contexts.",electrical components
patching,"A electrical term meaning patchleme / bağlantı düzenleme, used in site, drawing, installation or coordination contexts.",electrical components
proximity,"A electrical term meaning yakınlık / proximity, used in site, drawing, installation or coordination contexts.",electrical components
reader,"A electrical term meaning okuyucu, used in site, drawing, installation or coordination contexts.",electrical components
stopping,"A electrical term meaning durdurma / yangın durdurma, used in site, drawing, installation or coordination contexts.",electrical components
submersible,"An adjective meaning “dalgıç tip”, used to describe a condition, issue, status or requirement.",electrical components
tape,"A electrical term meaning bant / çekme şeridi, used in site, drawing, installation or coordination contexts.",electrical components
earthed,"A electrical term meaning topraklanmış, used in site, drawing, installation or coordination contexts.",electrical safety / protection
addressable fire alarm,"A electrical term meaning adreslenebilir yangın alarm, used in site, drawing, installation or coordination contexts.",electrical systems
anti-panic lighting,"A electrical term meaning panik önleyici aydınlatma, used in site, drawing, installation or coordination contexts.",electrical systems
armoured cable,"A electrical term meaning zırhlı kablo, used in site, drawing, installation or coordination contexts.",electrical systems
artificial lighting,"A electrical term meaning artificial aydınlatma, used in site, drawing, installation or coordination contexts.",electrical systems
basic parameters lighting,"A electrical term meaning temel parameters aydınlatma, used in site, drawing, installation or coordination contexts.",electrical systems
busbar expansion joint,"A electrical term meaning bara genişleme / genleşme joint, used in site, drawing, installation or coordination contexts.",electrical systems
busbar riser,"A electrical term meaning bara şaft hattı, used in site, drawing, installation or coordination contexts.",electrical systems
busbar section,"A electrical term meaning bara bölümü, used in site, drawing, installation or coordination contexts.",electrical systems
busbar trunking,"A electrical term meaning bara kanalı, used in site, drawing, installation or coordination contexts.",electrical systems
cable containment,"A electrical term meaning kablo taşıma sistemi, used in site, drawing, installation or coordination contexts.",electrical systems
cable ferrule,"A electrical term meaning kablo yüksüğü, used in site, drawing, installation or coordination contexts.",electrical systems
cable gland,"A electrical term meaning kablo rakoru, used in site, drawing, installation or coordination contexts.",electrical systems
cable interruption,"A electrical term meaning kablo kesinti, used in site, drawing, installation or coordination contexts.",electrical systems
cable lug,"A electrical term meaning kablo pabucu, used in site, drawing, installation or coordination contexts.",electrical systems
cable pulling,"A electrical term meaning kablo çekimi, used in site, drawing, installation or coordination contexts.",electrical systems
cable route,"A electrical term meaning kablo güzergâhı, used in site, drawing, installation or coordination contexts.",electrical systems
cable routing,"A electrical term meaning kablo güzergâhlama, used in site, drawing, installation or coordination contexts.",electrical systems
cable termination,"A electrical term meaning kablo sonlandırma, used in site, drawing, installation or coordination contexts.",electrical systems
cable ties,"A electrical term meaning kablo ties, used in site, drawing, installation or coordination contexts.",electrical systems
cable trunking,"A electrical term meaning kablo kanalı, used in site, drawing, installation or coordination contexts.",electrical systems
cable type,"A electrical term meaning kablo tip / tür, used in site, drawing, installation or coordination contexts.",electrical systems
cable weight balancing,"A electrical term meaning kablo ağırlık dengeleme, used in site, drawing, installation or coordination contexts.",electrical systems
cables,"A electrical term meaning kablolar, used in site, drawing, installation or coordination contexts.",electrical systems
campus-wide grounding,"A electrical term meaning campus-wide topraklama, used in site, drawing, installation or coordination contexts.",electrical systems
cast resin transformer,"A electrical term meaning cast resin trafo, used in site, drawing, installation or coordination contexts.",electrical systems
central UPS,"A electrical term meaning merkezi UPS, used in site, drawing, installation or coordination contexts.",electrical systems
cleaning sockets,"A electrical term meaning temizleme sockets, used in site, drawing, installation or coordination contexts.",electrical systems
clinical BMS,"A electrical term meaning klinik BMS, used in site, drawing, installation or coordination contexts.",electrical systems
clinical CCTV,"A electrical term meaning klinik cctv, used in site, drawing, installation or coordination contexts.",electrical systems
clinical earthing,"A electrical term meaning klinik topraklama, used in site, drawing, installation or coordination contexts.",electrical systems
clinical emergency lighting,"A electrical term meaning klinik acil aydınlatması, used in site, drawing, installation or coordination contexts.",electrical systems
clinical fire alarm,"A electrical term meaning klinik yangın alarmı, used in site, drawing, installation or coordination contexts.",electrical systems
control cable,"A electrical term meaning kontrol kablosu, used in site, drawing, installation or coordination contexts.",electrical systems
copper cable,"A electrical term meaning bakır kablosu, used in site, drawing, installation or coordination contexts.",electrical systems
coverage fire alarm,"A electrical term meaning coverage yangın alarm, used in site, drawing, installation or coordination contexts.",electrical systems
critical facility BMS,"A electrical term meaning kritik facility BMS, used in site, drawing, installation or coordination contexts.",electrical systems
current loading,"A electrical term meaning akım loading, used in site, drawing, installation or coordination contexts.",electrical systems
data cable,"A electrical term meaning data kablosu, used in site, drawing, installation or coordination contexts.",electrical systems
data center BMS,"A electrical term meaning veri merkezi BMS, used in site, drawing, installation or coordination contexts.",electrical systems
data hall BMS,"A electrical term meaning veri hall BMS, used in site, drawing, installation or coordination contexts.",electrical systems
dedicated UPS,"A electrical term meaning özel ayrılmış UPS, used in site, drawing, installation or coordination contexts.",electrical systems
dry-type transformer,"A electrical term meaning kuru tip trafo, used in site, drawing, installation or coordination contexts.",electrical systems
earthing conductor,"A electrical term meaning topraklama iletkeni, used in site, drawing, installation or coordination contexts.",electrical systems
earthing grid,"A electrical term meaning topraklama ağı, used in site, drawing, installation or coordination contexts.",electrical systems
earthing system,"A electrical term meaning topraklama sistemi, used in site, drawing, installation or coordination contexts.",electrical systems
egress lighting,"A electrical term meaning kaçış yolu aydınlatma, used in site, drawing, installation or coordination contexts.",electrical systems
electric lighting,"A electrical term meaning elektrikli aydınlatma, used in site, drawing, installation or coordination contexts.",electrical systems
electric main panel,"A electrical term meaning elektrikli ana paneli, used in site, drawing, installation or coordination contexts.",electrical systems
equalization busbar,"A electrical term meaning equalization bara, used in site, drawing, installation or coordination contexts.",electrical systems
exit lighting,"A electrical term meaning çıkış aydınlatma, used in site, drawing, installation or coordination contexts.",electrical systems
extensive lighting,"A electrical term meaning extensive aydınlatma, used in site, drawing, installation or coordination contexts.",electrical systems
facade lighting,"A electrical term meaning cephe aydınlatma, used in site, drawing, installation or coordination contexts.",electrical systems
fault current,"A electrical term meaning arıza akımı, used in site, drawing, installation or coordination contexts.",electrical systems
fiber backbone,"A electrical term meaning fiber omurga, used in site, drawing, installation or coordination contexts.",electrical systems
fiber cable,"A electrical term meaning fiber kablosu, used in site, drawing, installation or coordination contexts.",electrical systems
fiber optic,"A electrical term meaning fiber optik, used in site, drawing, installation or coordination contexts.",electrical systems
fiber optic cables,"A electrical term meaning fiber optik kablolar, used in site, drawing, installation or coordination contexts.",electrical systems
fire alarm,"A electrical term meaning yangın alarmı, used in site, drawing, installation or coordination contexts.",electrical systems
fire alarm control,"A electrical term meaning yangın alarm kontrolü, used in site, drawing, installation or coordination contexts.",electrical systems
fire alarm panel,"A electrical term meaning yangın alarm paneli, used in site, drawing, installation or coordination contexts.",electrical systems
fire alarm system,"A electrical term meaning yangın alarm sistemi, used in site, drawing, installation or coordination contexts.",electrical systems
fixed lighting,"A electrical term meaning sabit / düzeltilmiş aydınlatma, used in site, drawing, installation or coordination contexts.",electrical systems
foundation grounding,"A electrical term meaning temel topraklama, used in site, drawing, installation or coordination contexts.",electrical systems
generator room,"A electrical term meaning jeneratör odası, used in site, drawing, installation or coordination contexts.",electrical systems
generator sets,"A electrical term meaning jeneratör sets, used in site, drawing, installation or coordination contexts.",electrical systems
grounding conductor,"A electrical term meaning topraklama iletkeni, used in site, drawing, installation or coordination contexts.",electrical systems
grounding electrode,"A electrical term meaning topraklama elektrot, used in site, drawing, installation or coordination contexts.",electrical systems
grounding grid,"A electrical term meaning topraklama ağı, used in site, drawing, installation or coordination contexts.",electrical systems
grounding set,"A electrical term meaning topraklama ayarlanmış, used in site, drawing, installation or coordination contexts.",electrical systems
grounding system,"A electrical term meaning topraklama sistemi, used in site, drawing, installation or coordination contexts.",electrical systems
halogen-free cables,"A electrical term meaning halojensiz kablolar, used in site, drawing, installation or coordination contexts.",electrical systems
healthcare BMS,"A electrical term meaning sağlık tesisi BMS, used in site, drawing, installation or coordination contexts.",electrical systems
healthcare CCTV,"A electrical term meaning sağlık tesisi cctv, used in site, drawing, installation or coordination contexts.",electrical systems
healthcare earthing,"A electrical term meaning sağlık tesisi topraklama, used in site, drawing, installation or coordination contexts.",electrical systems
healthcare emergency lighting,"A electrical term meaning sağlık tesisi acil aydınlatması, used in site, drawing, installation or coordination contexts.",electrical systems
healthcare fire alarm,"A electrical term meaning sağlık tesisi yangın alarmı, used in site, drawing, installation or coordination contexts.",electrical systems
helipad lighting,"A electrical term meaning helikopter pisti aydınlatma, used in site, drawing, installation or coordination contexts.",electrical systems
high voltage,"A electrical term meaning yüksek gerilim, used in site, drawing, installation or coordination contexts.",electrical systems
hospital BMS,"A electrical term meaning hastane BMS, used in site, drawing, installation or coordination contexts.",electrical systems
hospital CCTV,"A electrical term meaning hastane cctv, used in site, drawing, installation or coordination contexts.",electrical systems
hospital earthing,"A electrical term meaning hastane topraklama, used in site, drawing, installation or coordination contexts.",electrical systems
hospital emergency lighting,"A electrical term meaning hastane acil aydınlatması, used in site, drawing, installation or coordination contexts.",electrical systems
hospital fire alarm,"A electrical term meaning hastane yangın alarmı, used in site, drawing, installation or coordination contexts.",electrical systems
incoming breaker,"A electrical term meaning giriş kesicisi/şalteri, used in site, drawing, installation or coordination contexts.",electrical systems
incoming switchgear,"A electrical term meaning giriş şalt ekipmanı / hücre, used in site, drawing, installation or coordination contexts.",electrical systems
instrument cable,"A electrical term meaning enstrüman kablosu, used in site, drawing, installation or coordination contexts.",electrical systems
interior lighting,"A electrical term meaning interior aydınlatma, used in site, drawing, installation or coordination contexts.",electrical systems
IT BMS,"A electrical term meaning BT BMS, used in site, drawing, installation or coordination contexts.",electrical systems
IT copper cable,"A electrical term meaning BT bakır kablosu, used in site, drawing, installation or coordination contexts.",electrical systems
IT fiber cable,"A electrical term meaning BT fiber kablosu, used in site, drawing, installation or coordination contexts.",electrical systems
IT patch panel,"A electrical term meaning BT patch paneli, used in site, drawing, installation or coordination contexts.",electrical systems
landscaping lighting,"A electrical term meaning landscaping aydınlatma, used in site, drawing, installation or coordination contexts.",electrical systems
lighting consultant,"A electrical term meaning aydınlatma müşavir / danışman, used in site, drawing, installation or coordination contexts.",electrical systems
lighting zones,"A electrical term meaning aydınlatma zones, used in site, drawing, installation or coordination contexts.",electrical systems
low current,"A electrical term meaning alçak akım, used in site, drawing, installation or coordination contexts.",electrical systems
low noise grounding,"A electrical term meaning alçak gürültü topraklama, used in site, drawing, installation or coordination contexts.",electrical systems
low voltage,"A electrical term meaning alçak gerilim, used in site, drawing, installation or coordination contexts.",electrical systems
low voltage panel,"A electrical term meaning düşük gerilim paneli, used in site, drawing, installation or coordination contexts.",electrical systems
main service switchboard,"A electrical term meaning ana servis / hizmet ana pano / şalt panosu, used in site, drawing, installation or coordination contexts.",electrical systems
main switchboard,"A electrical term meaning ana pano, used in site, drawing, installation or coordination contexts.",electrical systems
main transformer,"A electrical term meaning ana trafo, used in site, drawing, installation or coordination contexts.",electrical systems
medical BMS,"A electrical term meaning medikal BMS, used in site, drawing, installation or coordination contexts.",electrical systems
medical CCTV,"A electrical term meaning medikal cctv, used in site, drawing, installation or coordination contexts.",electrical systems
medical earthing,"A electrical term meaning medikal topraklama, used in site, drawing, installation or coordination contexts.",electrical systems
medical emergency lighting,"A electrical term meaning medikal acil aydınlatması, used in site, drawing, installation or coordination contexts.",electrical systems
medical fire alarm,"A electrical term meaning medikal yangın alarmı, used in site, drawing, installation or coordination contexts.",electrical systems
medium voltage,"A electrical term meaning orta gerilim, used in site, drawing, installation or coordination contexts.",electrical systems
metal enclosed switchgear,"A electrical term meaning metal kapalı / muhafazalı şalt ekipmanı / hücre, used in site, drawing, installation or coordination contexts.",electrical systems
noise grounding,"A electrical term meaning gürültü topraklama, used in site, drawing, installation or coordination contexts.",electrical systems
outdoor lighting,"A electrical term meaning dış mekân aydınlatma, used in site, drawing, installation or coordination contexts.",electrical systems
override lighting,"A electrical term meaning aydınlatmayı manuel devreye alma / override, used in site, drawing, installation or coordination contexts.",electrical systems
panel schedule,"A electrical term meaning pano yük cetveli, used in site, drawing, installation or coordination contexts.",electrical systems
panelboard buses,"A electrical term meaning pano / dağıtım panosu buses, used in site, drawing, installation or coordination contexts.",electrical systems
partially/dim lighting,"A electrical term meaning partially/dim aydınlatma, used in site, drawing, installation or coordination contexts.",electrical systems
patch panel,"A electrical term meaning patch panel, used in site, drawing, installation or coordination contexts.",electrical systems
perimeter grounding,"A electrical term meaning çevre / perimetre topraklama, used in site, drawing, installation or coordination contexts.",electrical systems
permanent lighting,"A electrical term meaning permanent aydınlatma, used in site, drawing, installation or coordination contexts.",electrical systems
potential equalization busbar,"A electrical term meaning potansiyel equalization bara, used in site, drawing, installation or coordination contexts.",electrical systems
power cable,"A electrical term meaning güç kablosu, used in site, drawing, installation or coordination contexts.",electrical systems
protective grounding,"A electrical term meaning koruyucu topraklama, used in site, drawing, installation or coordination contexts.",electrical systems
rack row,"A electrical term meaning rack/kabin ROW, used in site, drawing, installation or coordination contexts.",electrical systems
remote panel,"A electrical term meaning Uzaktan kontrollü Panosu, used in site, drawing, installation or coordination contexts.",electrical systems
security/fire alarm,"A electrical term meaning güvenlik/yangın alarmı, used in site, drawing, installation or coordination contexts.",electrical systems
separate busbar,"A electrical term meaning ayırmak bara, used in site, drawing, installation or coordination contexts.",electrical systems
server rack,"A electrical term meaning server rack kabini, used in site, drawing, installation or coordination contexts.",electrical systems
server room,"A electrical term meaning server odası, used in site, drawing, installation or coordination contexts.",electrical systems
sf6 insulated switchgear,"A electrical term meaning sf6 yalıtımlı / izole edilmiş şalt ekipmanı / hücre, used in site, drawing, installation or coordination contexts.",electrical systems
short-circuit current,"A electrical term meaning kısa devre akımı, used in site, drawing, installation or coordination contexts.",electrical systems
socket groups,"A electrical term meaning priz groups, used in site, drawing, installation or coordination contexts.",electrical systems
sockets accessories,"A electrical term meaning priz aksesuarları, used in site, drawing, installation or coordination contexts.",electrical systems
stage lighting,"A electrical term meaning aşama aydınlatma, used in site, drawing, installation or coordination contexts.",electrical systems
supply cables,"A electrical term meaning besleme / tedarik cables, used in site, drawing, installation or coordination contexts.",electrical systems
system rack,"A electrical term meaning sistem rack / kabin, used in site, drawing, installation or coordination contexts.",electrical systems
transformer main,"A electrical term meaning trafo ana, used in site, drawing, installation or coordination contexts.",electrical systems
transformer room,"A electrical term meaning trafo odası, used in site, drawing, installation or coordination contexts.",electrical systems
transformer secondaries,"A electrical term meaning trafo secondaries, used in site, drawing, installation or coordination contexts.",electrical systems
transformer substation,"A electrical term meaning trafo trafo merkezi / şalt tesisi, used in site, drawing, installation or coordination contexts.",electrical systems
UPS batteries,"A electrical term meaning UPS aküleri, used in site, drawing, installation or coordination contexts.",electrical systems
UPS capacities,"A electrical term meaning UPS kapasiteleri, used in site, drawing, installation or coordination contexts.",electrical systems
UPS room,"A electrical term meaning UPS odası, used in site, drawing, installation or coordination contexts.",electrical systems
