id,term,normalizedTerm,turkishMeaning,cefrLevel,domain,contentDomain,lifeContext,register,primaryUseCase,category,termType,partOfSpeech,wordCount,definition,exampleSentence,turkishExample,relatedTerms,commonMistakes,grammarFits,skillUse,tags,source,confidence,status,importTier,isCore,isTechnical,isProfessionalPhrase,isContractual,isDailySiteEnglish,isLifeWideEnglish,reviewReason,variantOf,grammarDomainAlias,qcRepairNotes
vocab_general_english_b1_0130,battery autonomy,battery autonomy,akü yedekleme süresi,B1,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,two_word_term,multiword_term,2,"A general expression meaning “akü yedekleme süresi”, used in realistic EngineerOS work-life contexts.",Please write the word battery autonomy clearly in your notes.,Lütfen notlarına akü yedekleme süresi kelimesini açıkça yaz.,"work, site, communication, report, vocabulary","Check whether the word is being used in a daily, professional or technical context. For “battery autonomy”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b1, engineeros, general, general-english, general-english-site-communication, general-site, two_word_term",EngineerOS curated technical phrase + Final QC life-wide normalization,0.94,approved,daily_site_english,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_architecture_b1_0020,raised floor,raised floor,yükseltilmiş döşeme,B1,architecture,engineering,site,technical,site-task,architecture and spaces,two_word_term,multiword_term,2,"A architecture term meaning yükseltilmiş döşeme, used in site, drawing, installation or coordination contexts.",Please check the raised floor location against the latest layout.,Lütfen yükseltilmiş döşeme konumunu en son yerleşim planına göre kontrol edin.,"room, door, wall, drawing, finish","Check whether the term refers to installation, inspection, testing or documentation before using it. For “raised floor”, check the exact site meaning before writing a report.","simple present, passive voice, modal obligation, technical reporting, prepositions","reading, writing, speaking, vocabulary","architecture, architecture-and-spaces, b1, engineering, engineeros, two_word_term",EngineerOS curated technical phrase + Final QC life-wide normalization,0.94,approved,technical_term,False,True,False,False,False,False,,,architecture,domain_mapping: domain mapped to architecture | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_finance_admin_b1_0006,bill of quantities,bill of quantities,metraj / keşif özeti,B1,EngGen,workplace,bank,formal,work-report,general English / site communication,finance_admin_term,phrase,3,"A finance/admin term meaning metraj / keşif özeti, used for payments, salary, banking, tax, visa or document communication.",The bill of quantities should be recorded in the monthly documents.,Belgeyi göndermeden önce metraj / keşif özeti kontrol edilmelidir.,"work, site, communication, report, vocabulary","In finance/admin English, include dates, amounts and document references clearly. For “bill of quantities”, include the amount, date or document reference when needed.","questions, simple present, finance-admin wording, modal obligation, prepositions","reading, writing, speaking, vocabulary","b1, engineeros, finance-admin, finance_admin_term, general-english-site-communication, general-site, EngGen",EngineerOS curated technical phrase + Final QC life-wide normalization,0.94,approved,finance_admin_english,False,False,False,False,False,True,,,EngGen,domain_mapping: domain mapped to general | merged_to_EngGen
vocab_general_english_b1_0238,operation manual,operation manual,işletme kılavuzu,B1,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,two_word_term,multiword_term,2,"A general expression meaning “işletme kılavuzu”, used in realistic EngineerOS work-life contexts.",The operation manual came up during a normal conversation.,Işletme kılavuzu konusu günlük bir konuşmada geçti.,"work, site, communication, report, vocabulary","Do not memorize the word alone; connect it to a real daily or work-life sentence. For “operation manual”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b1, engineeros, general, general-english, general-english-site-communication, general-site, two_word_term",EngineerOS curated technical phrase + Final QC life-wide normalization,0.94,approved,daily_site_english,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_general_english_b1_0239,operation theatre,operation theatre,ameliyathane,B1,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,two_word_term,multiword_term,2,"A general expression meaning “ameliyathane”, used in realistic EngineerOS work-life contexts.",He mentioned the operation theatre while explaining the problem.,Problemi açıklarken ameliyathane konusundan bahsetti.,"work, site, communication, report, vocabulary","Check whether the word is being used in a daily, professional or technical context. For “operation theatre”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b1, engineeros, general, general-english, general-english-site-communication, general-site, two_word_term",EngineerOS curated technical phrase + Final QC life-wide normalization,0.94,approved,daily_site_english,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_general_english_b1_0240,outlet box,outlet box,çıkış kutusu,B1,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,two_word_term,multiword_term,2,"A general expression meaning “çıkış kutusu”, used in realistic EngineerOS work-life contexts.",The outlet box was important in the short discussion.,Kısa görüşmede çıkış kutusu önemliydi.,"work, site, communication, report, vocabulary","Do not memorize the word alone; connect it to a real daily or work-life sentence. For “outlet box”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b1, engineeros, general, general-english, general-english-site-communication, general-site, two_word_term",EngineerOS curated technical phrase + Final QC life-wide normalization,0.94,approved,daily_site_english,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_electrical_b1_0182,panel schedule,panel schedule,pano yük cetveli,B1,electrical,engineering,site,technical,site-task,electrical systems,two_word_term,multiword_term,2,"A electrical term meaning pano yük cetveli, used in site, drawing, installation or coordination contexts.",The panel schedule must be confirmed before the work continues.,İşe devam etmeden önce pano yük cetveli teyit edilmelidir.,"power, cable, panel, protection, testing","Do not use this term for every similar item; confirm the exact component or activity. For “panel schedule”, check the exact site meaning before writing a report.","simple present, passive voice, modal obligation, technical reporting, prepositions","reading, writing, speaking, vocabulary","b1, electrical, electrical-systems, engineering, engineeros, two_word_term",EngineerOS curated technical phrase + Final QC life-wide normalization,0.94,approved,technical_term,False,True,False,False,False,False,,,electrical,domain_mapping: domain mapped to electrical
vocab_electrical_b1_0185,patch panel,patch panel,patch panel,B1,electrical,engineering,site,technical,site-task,electrical systems,two_word_term,multiword_term,2,"A electrical term meaning patch panel, used in site, drawing, installation or coordination contexts.",The patch panel must be verified before energising the panel.,Pano enerjilendirilmeden önce patch panel doğrulanmalıdır.,"power, cable, panel, protection, testing","Do not translate this word alone without checking the drawing, system or site context. For “patch panel”, check the exact site meaning before writing a report.","simple present, passive voice, modal obligation, technical reporting, prepositions","reading, writing, speaking, vocabulary","b1, electrical, electrical-systems, engineering, engineeros, two_word_term",EngineerOS curated technical phrase + Final QC life-wide normalization,0.94,approved,technical_term,False,True,False,False,False,False,,,electrical,domain_mapping: domain mapped to electrical | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_electrical_b1_0189,power cable,power cable,güç kablosu,B1,electrical,engineering,site,technical,site-task,electrical systems,two_word_term,multiword_term,2,"A electrical term meaning güç kablosu, used in site, drawing, installation or coordination contexts.",The power cable must be ready before functional testing starts.,Fonksiyon testi başlamadan önce güç kablosu hazır olmalıdır.,"power, cable, panel, protection, testing","Do not translate this word alone without checking the drawing, system or site context. For “power cable”, check the exact site meaning before writing a report.","simple present, passive voice, modal obligation, technical reporting, prepositions","reading, writing, speaking, vocabulary","b1, electrical, electrical-systems, engineering, engineeros, two_word_term",EngineerOS curated technical phrase + Final QC life-wide normalization,0.94,approved,technical_term,False,True,False,False,False,False,,,electrical,domain_mapping: domain mapped to electrical | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_general_english_b1_0291,snag list,snag list,eksik/kusur listesi,B1,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,two_word_term,multiword_term,2,"A general expression meaning “eksik/kusur listesi”, used in realistic EngineerOS work-life contexts.",She used the word snag list in a clear sentence.,Bu kelimeyi açık bir cümlede eksik anlamında kullandı.,"work, site, communication, report, vocabulary","Do not memorize the word alone; connect it to a real daily or work-life sentence. For “snag list”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b1, engineeros, general, general-english, general-english-site-communication, general-site, two_word_term",EngineerOS curated technical phrase + Final QC life-wide normalization,0.94,approved,daily_site_english,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_general_english_b1_0242,packing list,packing list,paketleme listesi,B1,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,two_word_term,multiword_term,2,"A general expression meaning “paketleme listesi”, used in realistic EngineerOS work-life contexts.",She used the word packing list in a clear sentence.,Bu kelimeyi açık bir cümlede paketleme listesi anlamında kullandı.,"work, site, communication, report, vocabulary","Do not memorize the word alone; connect it to a real daily or work-life sentence. For “packing list”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b1, engineeros, general, general-english, general-english-site-communication, general-site, two_word_term",EngineerOS curated technical phrase + Final QC life-wide normalization,0.94,approved,daily_site_english,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_general_english_b1_0243,patch cord,patch cord,patch kablosu,B1,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,two_word_term,multiword_term,2,"A general expression meaning “patch kablosu”, used in realistic EngineerOS work-life contexts.",The meaning of patch cord was clear from the context.,Patch kablosu anlamı bağlamdan açıkça anlaşılıyordu.,"work, site, communication, report, vocabulary","Check whether the word is being used in a daily, professional or technical context. For “patch cord”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b1, engineeros, general, general-english, general-english-site-communication, general-site, two_word_term",EngineerOS curated technical phrase + Final QC life-wide normalization,0.94,approved,daily_site_english,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_general_english_b1_0174,equipotential bonding,equipotential bonding,eşpotansiyel bağlama,B1,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,two_word_term,multiword_term,2,"A general expression meaning “eşpotansiyel bağlama”, used in realistic EngineerOS work-life contexts.",He mentioned the equipotential bonding while explaining the problem.,Problemi açıklarken eşpotansiyel bağlama konusundan bahsetti.,"work, site, communication, report, vocabulary","Check whether the word is being used in a daily, professional or technical context. For “equipotential bonding”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b1, engineeros, general, general-english, general-english-site-communication, general-site, two_word_term",EngineerOS curated technical phrase + Final QC life-wide normalization,0.94,approved,daily_site_english,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_general_english_b1_0244,personal protective equipment,personal protective equipment,kişisel koruyucu donanım,B1,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,three_word_term,multiword_term,3,"A general expression meaning “kişisel koruyucu donanım”, used in realistic EngineerOS work-life contexts.",The personal protective equipment came up during a normal conversation.,Kişisel koruyucu donanım konusu günlük bir konuşmada geçti.,"work, site, communication, report, vocabulary","Do not memorize the word alone; connect it to a real daily or work-life sentence. For “personal protective equipment”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b1, engineeros, general, general-english, general-english-site-communication, general-site, three_word_term",EngineerOS curated technical phrase + Final QC life-wide normalization,0.94,approved,daily_site_english,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_general_english_b1_0177,exit sign,exit sign,çıkış yönlendirme armatürü,B1,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,two_word_term,multiword_term,2,"A general expression meaning “çıkış yönlendirme armatürü”, used in realistic EngineerOS work-life contexts.",She used the word exit sign in a clear sentence.,Bu kelimeyi açık bir cümlede çıkış yönlendirme armatürü anlamında kullandı.,"work, site, communication, report, vocabulary","Do not memorize the word alone; connect it to a real daily or work-life sentence. For “exit sign”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b1, engineeros, general, general-english, general-english-site-communication, general-site, two_word_term",EngineerOS curated technical phrase + Final QC life-wide normalization,0.94,approved,daily_site_english,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_architecture_b1_0003,battery room,battery room,akü odası,B1,architecture,engineering,site,technical,site-task,architecture and spaces,two_word_term,multiword_term,2,"A architecture term meaning akü odası, used in site, drawing, installation or coordination contexts.",The battery room must be confirmed before the work continues.,İşe devam etmeden önce akü odası teyit edilmelidir.,"room, door, wall, drawing, finish","In technical writing, keep the term specific and avoid vague words like thing or stuff. For “battery room”, check the exact site meaning before writing a report.","simple present, passive voice, modal obligation, technical reporting, prepositions","reading, writing, speaking, vocabulary","architecture, architecture-and-spaces, b1, engineering, engineeros, two_word_term",EngineerOS curated technical phrase + Final QC life-wide normalization,0.94,approved,technical_term,False,True,False,False,False,False,,,architecture,domain_mapping: domain mapped to architecture
vocab_general_english_b1_0295,strobe light,strobe light,flaşörlü uyarı ışığı,B1,general-english,general,daily-conversation,neutral,daily-conversation,general English / site communication,two_word_term,multiword_term,2,"A general expression meaning “flaşörlü uyarı ışığı”, used in realistic EngineerOS work-life contexts.",Please write the word strobe light clearly in your notes.,Lütfen notlarına flaşörlü uyarı ışığı kelimesini açıkça yaz.,"work, site, communication, report, vocabulary","Check whether the word is being used in a daily, professional or technical context. For “strobe light”, learn one real sentence instead of only the Turkish meaning.","simple present, past simple, questions, daily conversation","reading, writing, vocabulary","b1, engineeros, general, general-english, general-english-site-communication, general-site, two_word_term",EngineerOS curated technical phrase + Final QC life-wide normalization,0.94,approved,daily_site_english,False,False,False,False,True,True,,,general,template_repair: natural example rewritten for POS/domain context | domain_mapping: domain mapped to general | grammarFits_fix: grammar fit aligned with domain/level | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_finance_admin_b1_0007,card reader,card reader,kart okuyucu,B1,EngGen,workplace,bank,formal,work-report,general English / site communication,finance_admin_term,phrase,2,"A finance/admin term meaning kart okuyucu, used for payments, salary, banking, tax, visa or document communication.",The team should use “card reader” carefully in formal project correspondence.,"Ekip, resmî proje yazışmalarında “kart okuyucu” ifadesini dikkatli kullanmalıdır.","work, site, communication, report, vocabulary","Do not say 'send money by bank' in formal English; use make a bank transfer when relevant. For “card reader”, include the amount, date or document reference when needed.","questions, simple present, finance-admin wording, modal obligation, prepositions","reading, writing, speaking, vocabulary","b1, engineeros, finance-admin, finance_admin_term, general-english-site-communication, general-site, EngGen",EngineerOS curated technical phrase + Final QC life-wide normalization,0.94,approved,finance_admin_english,False,False,False,False,False,True,,,EngGen,domain_mapping: domain mapped to general | Final polish: mechanical template removed; English/Turkish naturalness repaired | merged_to_EngGen
vocab_electrical_b1_0195,server rack,server rack,server rack kabini,B1,electrical,engineering,site,technical,site-task,electrical systems,two_word_term,multiword_term,2,"A electrical term meaning server rack kabini, used in site, drawing, installation or coordination contexts.",The server rack must be ready before functional testing starts.,Fonksiyon testi başlamadan önce server rack kabini hazır olmalıdır.,"power, cable, panel, protection, testing","In technical writing, keep the term specific and avoid vague words like thing or stuff. For “server rack”, check the exact site meaning before writing a report.","simple present, passive voice, modal obligation, technical reporting, prepositions","reading, writing, speaking, vocabulary","b1, electrical, electrical-systems, engineering, engineeros, two_word_term",EngineerOS curated technical phrase + Final QC life-wide normalization,0.94,approved,technical_term,False,True,False,False,False,False,,,electrical,domain_mapping: domain mapped to electrical | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_electrical_b1_0196,server room,server room,server odası,B1,electrical,engineering,site,technical,site-task,electrical systems,two_word_term,multiword_term,2,"A electrical term meaning server odası, used in site, drawing, installation or coordination contexts.",Please check the server room before the next inspection.,Lütfen bir sonraki muayeneden önce server odası kontrol edin.,"power, cable, panel, protection, testing","Check whether the term refers to installation, inspection, testing or documentation before using it. For “server room”, check the exact site meaning before writing a report.","simple present, passive voice, modal obligation, technical reporting, prepositions","reading, writing, speaking, vocabulary","b1, electrical, electrical-systems, engineering, engineeros, two_word_term",EngineerOS curated technical phrase + Final QC life-wide normalization,0.94,approved,technical_term,False,True,False,False,False,False,,,electrical,domain_mapping: domain mapped to electrical
vocab_architecture_b1_0006,electrical room,electrical room,elektrik odası,B1,architecture,engineering,site,technical,site-task,architecture and spaces,two_word_term,multiword_term,2,"A architecture term meaning elektrik odası, used in site, drawing, installation or coordination contexts.",The architect confirmed the electrical room detail before material approval.,Mimar malzeme onayından önce elektrik odası detayını teyit etti.,"room, door, wall, drawing, finish","Do not use this term for every similar item; confirm the exact component or activity. For “electrical room”, check the exact site meaning before writing a report.","simple present, passive voice, modal obligation, technical reporting, prepositions","reading, writing, speaking, vocabulary","architecture, architecture-and-spaces, b1, engineering, engineeros, two_word_term",EngineerOS curated technical phrase + Final QC life-wide normalization,0.94,approved,technical_term,False,True,False,False,False,False,,,architecture,domain_mapping: domain mapped to architecture | Final polish: mechanical template removed; English/Turkish naturalness repaired
vocab_architecture_b1_0009,floor box,floor box,döşeme kutusu,B1,architecture,engineering,site,technical,site-task,architecture and spaces,two_word_term,multiword_term,2,"A architecture term meaning döşeme kutusu, used in site, drawing, installation or coordination contexts.",The floor box dimensions must match the approved architectural drawing.,Döşeme kutusu ölçüleri onaylı mimari çizimle uyumlu olmalıdır.,"room, door, wall, drawing, finish","Do not translate this word alone without checking the drawing, system or site context. For “floor box”, check the exact site meaning before writing a report.","simple present, passive voice, modal obligation, technical reporting, prepositions","reading, writing, speaking, vocabulary","architecture, architecture-and-spaces, b1, engineering, engineeros, two_word_term",EngineerOS curated technical phrase + Final QC life-wide normalization,0.94,approved,technical_term,False,True,False,False,False,False,,,architecture,domain_mapping: domain mapped to architecture | Final polish: mechanical template removed; English/Turkish naturalness repaired
