term,definition,category
brute force approach,"A software term meaning kaba kuvvet yaklaşımı, used in site, drawing, installation or coordination contexts.",algorithms
quicksort,"A software term meaning hızlı sıralama (quicksort), used in site, drawing, installation or coordination contexts.",algorithms
merge sort,"A software term meaning birleştirme sıralaması, used in site, drawing, installation or coordination contexts.",algorithms
depth-first search,"A software term meaning derinlik öncelikli arama, used in site, drawing, installation or coordination contexts.",algorithms
breadth-first search,"A software term meaning genişlik öncelikli arama, used in site, drawing, installation or coordination contexts.",algorithms
dynamic programming,"A software term meaning dinamik programlama, used in site, drawing, installation or coordination contexts.",algorithms
greedy algorithm,"A software term meaning açgözlü algoritma, used in site, drawing, installation or coordination contexts.",algorithms
divide and conquer,"A software term meaning böl ve fethet, used in site, drawing, installation or coordination contexts.",algorithms
Big O notation,"A software term meaning Büyük O gösterimi, used in site, drawing, installation or coordination contexts.",algorithms
hashing algorithm,"A software term meaning hashleme algoritması, used in site, drawing, installation or coordination contexts.",algorithms
backtracking algorithm,"A software term meaning geri izleme algoritması, used in site, drawing, installation or coordination contexts.",algorithms
shortest path algorithm,"A software term meaning en kısa yol algoritması, used in site, drawing, installation or coordination contexts.",algorithms
Dijkstra's algorithm,"A software term meaning Dijkstra algoritması, used in site, drawing, installation or coordination contexts.",algorithms
A* search algorithm,"A software term meaning A* arama algoritması, used in site, drawing, installation or coordination contexts.",algorithms
topological sorting,"A software term meaning topolojik sıralama, used in site, drawing, installation or coordination contexts.",algorithms
NP-complete problem,"A software term meaning NP-tam problem, used in site, drawing, installation or coordination contexts.",algorithms
dynamic programming memoization,"A software term meaning dinamik programlama önbellekleme, used in site, drawing, installation or coordination contexts.",algorithms
computational complexity theory,"A software term meaning hesaplama karmaşıklığı teorisi, used in site, drawing, installation or coordination contexts.",algorithms
approximation algorithm,"A software term meaning yaklaşım algoritması, used in site, drawing, installation or coordination contexts.",algorithms
randomized algorithm,"A software term meaning rastgele algoritma, used in site, drawing, installation or coordination contexts.",algorithms
algorithm step,"A software term meaning algoritma adımı, used in site, drawing, installation or coordination contexts.",algorithms
class,"A software term meaning sınıf, used in site, drawing, installation or coordination contexts.",oop
object,"A software term meaning nesne, used in site, drawing, installation or coordination contexts.",oop
inheritance,"A software term meaning kalıtım, used in site, drawing, installation or coordination contexts.",oop
encapsulation,"A software term meaning kapsülleme, used in site, drawing, installation or coordination contexts.",oop
polymorphism,"A software term meaning çok biçimlilik, used in site, drawing, installation or coordination contexts.",oop
abstraction,"A software term meaning soyutlama, used in site, drawing, installation or coordination contexts.",oop
constructor,"A software term meaning yapıcı (constructor), used in site, drawing, installation or coordination contexts.",oop
instance,"A software term meaning örnek (instance), used in site, drawing, installation or coordination contexts.",oop
factory method,"A software term meaning factory metodu, used in site, drawing, installation or coordination contexts.",oop
attribute,"A software term meaning öznitelik, used in site, drawing, installation or coordination contexts.",oop
functional interface,"A software term meaning fonksiyonel arayüz, used in site, drawing, installation or coordination contexts.",oop
abstract class,"A software term meaning soyut sınıf, used in site, drawing, installation or coordination contexts.",oop
subclass,"A software term meaning alt sınıf, used in site, drawing, installation or coordination contexts.",oop
superclass,"A software term meaning üst sınıf, used in site, drawing, installation or coordination contexts.",oop
access modifier,"A software term meaning erişim belirleyici, used in site, drawing, installation or coordination contexts.",oop
private member,"A software term meaning özel üye (private), used in site, drawing, installation or coordination contexts.",oop
public member,"A software term meaning genel üye (public), used in site, drawing, installation or coordination contexts.",oop
method overriding,"A software term meaning metot geçersiz kılma, used in site, drawing, installation or coordination contexts.",oop
method overloading,"A software term meaning metot aşırı yükleme, used in site, drawing, installation or coordination contexts.",oop
composition over inheritance,"A software term meaning kalıtım yerine kompozisyon, used in site, drawing, installation or coordination contexts.",oop
dependency injection,"A software term meaning bağımlılık enjeksiyonu, used in site, drawing, installation or coordination contexts.",oop
static method,"A software term meaning statik metot, used in site, drawing, installation or coordination contexts.",oop
virtual method,"A software term meaning sanal metot, used in site, drawing, installation or coordination contexts.",oop
getter and setter,"A software term meaning erişim ve ayarlama metotları, used in site, drawing, installation or coordination contexts.",oop
object lifecycle,"A software term meaning nesne yaşam döngüsü, used in site, drawing, installation or coordination contexts.",oop
class diagram,"A software term meaning sınıf diyagramı, used in site, drawing, installation or coordination contexts.",oop
SOLID principles,"A software term meaning SOLID ilkeleri, used in site, drawing, installation or coordination contexts.",oop
multiple inheritance,"A software term meaning çoklu kalıtım, used in site, drawing, installation or coordination contexts.",oop
interface segregation,"A software term meaning arayüz ayrımı, used in site, drawing, installation or coordination contexts.",oop
liskov substitution principle,"A software term meaning Liskov yerine geçme ilkesi, used in site, drawing, installation or coordination contexts.",oop
computed property,"A software term meaning hesaplanan özellik, used in site, drawing, installation or coordination contexts.",oop
pure function,"A software term meaning saf fonksiyon, used in site, drawing, installation or coordination contexts.",functional programming
immutability,"A software term meaning değişmezlik, used in site, drawing, installation or coordination contexts.",functional programming
higher-order function,"A software term meaning yüksek dereceli fonksiyon, used in site, drawing, installation or coordination contexts.",functional programming
lambda expression,"A software term meaning lambda ifadesi, used in site, drawing, installation or coordination contexts.",functional programming
map function,"A software term meaning map fonksiyonu, used in site, drawing, installation or coordination contexts.",functional programming
filter function,"A software term meaning filter fonksiyonu, used in site, drawing, installation or coordination contexts.",functional programming
reduce function,"A software term meaning reduce fonksiyonu, used in site, drawing, installation or coordination contexts.",functional programming
first-class function,"A software term meaning birinci sınıf fonksiyon, used in site, drawing, installation or coordination contexts.",functional programming
side effect,"A software term meaning yan etki, used in site, drawing, installation or coordination contexts.",functional programming
function composition,"A software term meaning fonksiyon bileşimi, used in site, drawing, installation or coordination contexts.",functional programming
currying,"A software term meaning currying, used in site, drawing, installation or coordination contexts.",functional programming
recursion base case,"A software term meaning özyineleme temel durumu, used in site, drawing, installation or coordination contexts.",functional programming
monad,"A software term meaning monad, used in site, drawing, installation or coordination contexts.",functional programming
referential transparency,"A software term meaning referans şeffaflığı, used in site, drawing, installation or coordination contexts.",functional programming
functor,"A software term meaning functor, used in site, drawing, installation or coordination contexts.",functional programming
lazy evaluation,"A software term meaning tembel değerlendirme, used in site, drawing, installation or coordination contexts.",functional programming
declarative data transformation,"A software term meaning bildirimsel veri dönüşümü, used in site, drawing, installation or coordination contexts.",functional programming
algebraic data type,"A software term meaning cebirsel veri tipi, used in site, drawing, installation or coordination contexts.",functional programming
function call,"A software term meaning fonksiyon çağrısı, used in site, drawing, installation or coordination contexts.",functional programming
anonymous function,"A software term meaning anonim fonksiyon, used in site, drawing, installation or coordination contexts.",functional programming
callback function,"A software term meaning geri çağırma fonksiyonu, used in site, drawing, installation or coordination contexts.",functional programming
immutable state,"A software term meaning değişmez durum, used in site, drawing, installation or coordination contexts.",functional programming
tail recursion,"A software term meaning kuyruk özyinelemesi, used in site, drawing, installation or coordination contexts.",functional programming
stream processing,"A software term meaning akış işleme, used in site, drawing, installation or coordination contexts.",functional programming
software architecture,"A software term meaning yazılım mimarisi, used in site, drawing, installation or coordination contexts.",architecture patterns
design pattern,"A software term meaning tasarım deseni, used in site, drawing, installation or coordination contexts.",architecture patterns
client-server architecture,"A software term meaning istemci-sunucu mimarisi, used in site, drawing, installation or coordination contexts.",architecture patterns
layered architecture,"A software term meaning katmanlı mimari, used in site, drawing, installation or coordination contexts.",architecture patterns
modular design,"A software term meaning modüler tasarım, used in site, drawing, installation or coordination contexts.",architecture patterns
singleton pattern,"A software term meaning singleton deseni, used in site, drawing, installation or coordination contexts.",architecture patterns
factory pattern,"A software term meaning factory deseni, used in site, drawing, installation or coordination contexts.",architecture patterns
observer pattern,"A software term meaning observer deseni, used in site, drawing, installation or coordination contexts.",architecture patterns
strategy pattern,"A software term meaning strategy deseni, used in site, drawing, installation or coordination contexts.",architecture patterns
model-view-controller,"A software term meaning model-görünüm-denetleyici (MVC), used in site, drawing, installation or coordination contexts.",architecture patterns
repository pattern,"A software term meaning repository deseni, used in site, drawing, installation or coordination contexts.",architecture patterns
adapter pattern,"A software term meaning adapter deseni, used in site, drawing, installation or coordination contexts.",architecture patterns
decorator pattern,"A software term meaning decorator deseni, used in site, drawing, installation or coordination contexts.",architecture patterns
builder pattern,"A software term meaning builder deseni, used in site, drawing, installation or coordination contexts.",architecture patterns
facade pattern,"A software term meaning facade deseni, used in site, drawing, installation or coordination contexts.",architecture patterns
proxy pattern,"A software term meaning proxy deseni, used in site, drawing, installation or coordination contexts.",architecture patterns
event-driven architecture,"A software term meaning olay güdümlü mimari, used in site, drawing, installation or coordination contexts.",architecture patterns
service-oriented architecture,"A software term meaning servis odaklı mimari, used in site, drawing, installation or coordination contexts.",architecture patterns
monolithic architecture,"A software term meaning monolitik mimari, used in site, drawing, installation or coordination contexts.",architecture patterns
clean architecture,"A software term meaning temiz mimari (clean architecture), used in site, drawing, installation or coordination contexts.",architecture patterns
hexagonal architecture,"A software term meaning altıgen mimari, used in site, drawing, installation or coordination contexts.",architecture patterns
domain-driven design,"A software term meaning alan odaklı tasarım, used in site, drawing, installation or coordination contexts.",architecture patterns
event sourcing,"A software term meaning olay kaynaklama (event sourcing), used in site, drawing, installation or coordination contexts.",architecture patterns
anti-corruption layer,"A software term meaning bozulmayı önleyici katman, used in site, drawing, installation or coordination contexts.",architecture patterns
bounded context,"A software term meaning sınırlı bağlam, used in site, drawing, installation or coordination contexts.",architecture patterns
architectural decision record,"A software term meaning mimari karar kaydı, used in site, drawing, installation or coordination contexts.",architecture patterns
scalability pattern,"A software term meaning ölçeklenebilirlik deseni, used in site, drawing, installation or coordination contexts.",architecture patterns
circuit breaker pattern,"A software term meaning devre kesici deseni, used in site, drawing, installation or coordination contexts.",architecture patterns
architectural fitness function,"A software term meaning mimari uygunluk fonksiyonu, used in site, drawing, installation or coordination contexts.",architecture patterns
system design,"A software term meaning sistem tasarımı, used in site, drawing, installation or coordination contexts.",architecture patterns
separation of concerns,"A software term meaning kaygıların ayrılması, used in site, drawing, installation or coordination contexts.",architecture patterns
loose coupling,"A software term meaning gevşek bağlantı, used in site, drawing, installation or coordination contexts.",architecture patterns
high cohesion,"A software term meaning yüksek uyum, used in site, drawing, installation or coordination contexts.",architecture patterns
tight coupling,"A software term meaning sıkı bağlantı, used in site, drawing, installation or coordination contexts.",architecture patterns
technical debt,"A software term meaning teknik borç, used in site, drawing, installation or coordination contexts.",architecture patterns
system resilience,"A software term meaning sistem dayanıklılığı, used in site, drawing, installation or coordination contexts.",architecture patterns
plugin architecture,"A software term meaning eklenti mimarisi, used in site, drawing, installation or coordination contexts.",architecture patterns
API gateway pattern,"A software term meaning API ağ geçidi deseni, used in site, drawing, installation or coordination contexts.",architecture patterns
Git,"A software term meaning Git, used in site, drawing, installation or coordination contexts.",version control
repository,"A software term meaning depo (repository), used in site, drawing, installation or coordination contexts.",version control
commit,"A software term meaning commit (kaydetme), used in site, drawing, installation or coordination contexts.",version control
release branch,"A software term meaning sürüm dalı (branch), used in site, drawing, installation or coordination contexts.",version control
merge strategy,"A software term meaning birleştirme stratejisi, used in site, drawing, installation or coordination contexts.",version control
pull request,"A software term meaning çekme isteği (pull request), used in site, drawing, installation or coordination contexts.",version control
clone repository,"A software term meaning depoyu klonlama, used in site, drawing, installation or coordination contexts.",version control
push changes,"A software term meaning değişiklikleri gönderme (push), used in site, drawing, installation or coordination contexts.",version control
pull changes,"A software term meaning değişiklikleri çekme (pull), used in site, drawing, installation or coordination contexts.",version control
commit history,"A software term meaning commit geçmişi, used in site, drawing, installation or coordination contexts.",version control
version control system,"A software term meaning sürüm kontrol sistemi, used in site, drawing, installation or coordination contexts.",version control
staging area,"A software term meaning hazırlık alanı (staging), used in site, drawing, installation or coordination contexts.",version control
checkout,"A software term meaning checkout (dal değiştirme), used in site, drawing, installation or coordination contexts.",version control
tag version,"A software term meaning sürüm etiketleme, used in site, drawing, installation or coordination contexts.",version control
merge conflict,"A software term meaning birleştirme çakışması, used in site, drawing, installation or coordination contexts.",version control
rebase,"A software term meaning rebase (yeniden temellendirme), used in site, drawing, installation or coordination contexts.",version control
cherry-pick commit,"A software term meaning cherry-pick commit, used in site, drawing, installation or coordination contexts.",version control
fork repository,"A software term meaning depoyu çatallama (fork), used in site, drawing, installation or coordination contexts.",version control
git blame,"A software term meaning git blame, used in site, drawing, installation or coordination contexts.",version control
feature branch workflow,"A software term meaning özellik dalı iş akışı, used in site, drawing, installation or coordination contexts.",version control
gitflow workflow,"A software term meaning gitflow iş akışı, used in site, drawing, installation or coordination contexts.",version control
code review workflow,"A software term meaning kod inceleme iş akışı, used in site, drawing, installation or coordination contexts.",version control
trunk-based development,"A software term meaning gövde tabanlı geliştirme, used in site, drawing, installation or coordination contexts.",version control
semantic versioning,"A software term meaning anlamsal sürümleme, used in site, drawing, installation or coordination contexts.",version control
monorepo strategy,"A software term meaning tek depo (monorepo) stratejisi, used in site, drawing, installation or coordination contexts.",version control
git bisect,"A software term meaning git bisect (hata bulma), used in site, drawing, installation or coordination contexts.",version control
save changes,"A software term meaning değişiklikleri kaydetme, used in site, drawing, installation or coordination contexts.",version control
changelog,"A software term meaning değişiklik günlüğü, used in site, drawing, installation or coordination contexts.",version control
bug,"A software term meaning hata (bug), used in site, drawing, installation or coordination contexts.",testing qa
test case,"A software term meaning test senaryosu, used in site, drawing, installation or coordination contexts.",testing qa
unit test,"A software term meaning birim test, used in site, drawing, installation or coordination contexts.",testing qa
integration test,"A software term meaning entegrasyon testi, used in site, drawing, installation or coordination contexts.",testing qa
test suite,"A software term meaning test paketi, used in site, drawing, installation or coordination contexts.",testing qa
test coverage,"A software term meaning test kapsamı, used in site, drawing, installation or coordination contexts.",testing qa
regression testing,"A software term meaning regresyon testi, used in site, drawing, installation or coordination contexts.",testing qa
manual testing,"A software term meaning manuel test, used in site, drawing, installation or coordination contexts.",testing qa
automated testing,"A software term meaning otomatik test, used in site, drawing, installation or coordination contexts.",testing qa
test script,"A software term meaning test betiği, used in site, drawing, installation or coordination contexts.",testing qa
bug tracking system,"A software term meaning hata takip sistemi, used in site, drawing, installation or coordination contexts.",testing qa
critical defect,"A software term meaning kritik kusur, used in site, drawing, installation or coordination contexts.",testing qa
test environment,"A software term meaning test ortamı, used in site, drawing, installation or coordination contexts.",testing qa
smoke testing,"A software term meaning duman testi (smoke test), used in site, drawing, installation or coordination contexts.",testing qa
acceptance testing,"A software term meaning kabul testi, used in site, drawing, installation or coordination contexts.",testing qa
end-to-end testing,"A software term meaning uçtan uca test, used in site, drawing, installation or coordination contexts.",testing qa
test-driven development,"A software term meaning test odaklı geliştirme (TDD), used in site, drawing, installation or coordination contexts.",testing qa
behavior-driven development,"A software term meaning davranış odaklı geliştirme (BDD), used in site, drawing, installation or coordination contexts.",testing qa
mock object,"A software term meaning sahte nesne (mock), used in site, drawing, installation or coordination contexts.",testing qa
stub function,"A software term meaning yerine geçen fonksiyon (stub), used in site, drawing, installation or coordination contexts.",testing qa
test fixture,"A software term meaning test düzeneği (fixture), used in site, drawing, installation or coordination contexts.",testing qa
performance testing,"A software term meaning performans testi, used in site, drawing, installation or coordination contexts.",testing qa
load testing,"A software term meaning yük testi, used in site, drawing, installation or coordination contexts.",testing qa
stress testing,"A software term meaning gerginlik testi (stress test), used in site, drawing, installation or coordination contexts.",testing qa
