term,definition,category
gauge,"A mechanical term meaning gösterge / ölçü, used in site, drawing, installation or coordination contexts.",instruments
blockage,"A mechanical term meaning tıkanıklık, used in site, drawing, installation or coordination contexts.",maintenance
clogged,"A mechanical term meaning tıkanmış, used in site, drawing, installation or coordination contexts.",maintenance
gasket,"A mechanical term meaning conta, used in site, drawing, installation or coordination contexts.",materials
cargo elevator,"A mechanical term meaning yük / kargo asansör, used in site, drawing, installation or coordination contexts.",mechanical systems
cast,"A mechanical term meaning döküm, used in site, drawing, installation or coordination contexts.",mechanical systems
chilled,"A mechanical term meaning soğutulmuş, used in site, drawing, installation or coordination contexts.",mechanical systems
class i elevator,"A mechanical term meaning class i asansör, used in site, drawing, installation or coordination contexts.",mechanical systems
class ii elevator,"A mechanical term meaning class ii asansör, used in site, drawing, installation or coordination contexts.",mechanical systems
class iii elevator,"A mechanical term meaning class iii asansör, used in site, drawing, installation or coordination contexts.",mechanical systems
class iv elevator,"A mechanical term meaning class iv asansör, used in site, drawing, installation or coordination contexts.",mechanical systems
class v lift,"A mechanical term meaning class v kaldırmak, used in site, drawing, installation or coordination contexts.",mechanical systems
compact busduct,"A mechanical term meaning kompakt bara kanalı / busbar kanal, used in site, drawing, installation or coordination contexts.",mechanical systems
control valve,"A mechanical term meaning kontrol vanası, used in site, drawing, installation or coordination contexts.",mechanical systems
duct heaters,"A mechanical term meaning kanal heaters, used in site, drawing, installation or coordination contexts.",mechanical systems
electric duct,"A mechanical term meaning elektrikli kanal, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator compliance matrix,"A mechanical term meaning asansör uygunluk matris, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator manufacturing,"A mechanical term meaning asansör manufacturing, used in site, drawing, installation or coordination contexts.",mechanical systems
eu elevator,"A mechanical term meaning eu asansör, used in site, drawing, installation or coordination contexts.",mechanical systems
eu elevator regulation,"A mechanical term meaning eu asansör yönetmelik, used in site, drawing, installation or coordination contexts.",mechanical systems
exhaust fan,"A mechanical term meaning egzoz fanı, used in site, drawing, installation or coordination contexts.",mechanical systems
existing elevator,"A mechanical term meaning mevcut asansör, used in site, drawing, installation or coordination contexts.",mechanical systems
extract,"A mechanical term meaning egzoz / çekiş, used in site, drawing, installation or coordination contexts.",mechanical systems
fire damper,"A mechanical term meaning yangın damperi, used in site, drawing, installation or coordination contexts.",mechanical systems
fire dampers,"A mechanical term meaning yangın dampers, used in site, drawing, installation or coordination contexts.",mechanical systems
hatch,"A mechanical term meaning kapak / çatı kapağı, used in site, drawing, installation or coordination contexts.",mechanical systems
lifting operation,"A mechanical term meaning kaldırma operasyonu, used in site, drawing, installation or coordination contexts.",mechanical systems
lifting plan,"A mechanical term meaning kaldırma planı, used in site, drawing, installation or coordination contexts.",mechanical systems
main chiller,"A mechanical term meaning ana soğutma grubu / chiller, used in site, drawing, installation or coordination contexts.",mechanical systems
marshalling cabinet,"A mechanical term meaning marshalling kabini, used in site, drawing, installation or coordination contexts.",mechanical systems
network cabinet,"A mechanical term meaning network kabini, used in site, drawing, installation or coordination contexts.",mechanical systems
passenger elevator,"A mechanical term meaning yolcu asansör, used in site, drawing, installation or coordination contexts.",mechanical systems
pressurization fan,"A mechanical term meaning basınçlandırma fanı, used in site, drawing, installation or coordination contexts.",mechanical systems
production standard testing,"A mechanical term meaning üretim standart test etme, used in site, drawing, installation or coordination contexts.",mechanical systems
pump station,"A mechanical term meaning pompa istasyonu, used in site, drawing, installation or coordination contexts.",mechanical systems
relief,"A mechanical term meaning tahliye / emniyet, used in site, drawing, installation or coordination contexts.",mechanical systems
resin,"A mechanical term meaning reçine, used in site, drawing, installation or coordination contexts.",mechanical systems
rubber,"A mechanical term meaning kauçuk, used in site, drawing, installation or coordination contexts.",mechanical systems
safety induction,"A mechanical term meaning iş güvenliği oryantasyonu, used in site, drawing, installation or coordination contexts.",mechanical systems
service elevator,"A mechanical term meaning servis / hizmet asansör, used in site, drawing, installation or coordination contexts.",mechanical systems
shoe,"A mechanical term meaning kılavuz pabuç, used in site, drawing, installation or coordination contexts.",mechanical systems
spring,"A mechanical term meaning yay, used in site, drawing, installation or coordination contexts.",mechanical systems
stair,"A mechanical term meaning merdiven, used in site, drawing, installation or coordination contexts.",mechanical systems
ventilation dampers,"A mechanical term meaning havalandırma dampers, used in site, drawing, installation or coordination contexts.",mechanical systems
waterproofing,"A mechanical term meaning su yalıtımı, used in site, drawing, installation or coordination contexts.",mechanical systems
gravity,"A mechanical term meaning yer çekimi, used in site, drawing, installation or coordination contexts.",parameters
drain,"A mechanical term meaning boşaltmak, used in site, drawing, installation or coordination contexts.",piping
drainage,"A mechanical term meaning drenaj / boşaltma, used in site, drawing, installation or coordination contexts.",piping
drained,"A mechanical term meaning boşaltılmış, used in site, drawing, installation or coordination contexts.",piping
draining,"A mechanical term meaning boşaltma, used in site, drawing, installation or coordination contexts.",piping
piping,"A mechanical term meaning borulama, used in site, drawing, installation or coordination contexts.",piping
plant,"An adjective meaning “tesis / santral”, used to describe a condition, issue, status or requirement.",plant rooms
drip,"A mechanical term meaning damlama, used in site, drawing, installation or coordination contexts.",systems
vacuum,"A mechanical term meaning vakum, used in site, drawing, installation or coordination contexts.",systems
absorb,"A mechanical term meaning emmek / soğurmak, used in site, drawing, installation or coordination contexts.",HVAC
airtight,"A mechanical term meaning hava geçirmez, used in site, drawing, installation or coordination contexts.",HVAC
blower,"A mechanical term meaning üfleyici / blower, used in site, drawing, installation or coordination contexts.",HVAC
chiller,"A mechanical term meaning soğutma grubu / chiller, used in site, drawing, installation or coordination contexts.",HVAC
coldness,"A mechanical term meaning soğukluk, used in site, drawing, installation or coordination contexts.",HVAC
condenser,"A mechanical term meaning kondenser / yoğuşturucu, used in site, drawing, installation or coordination contexts.",HVAC
coolant,"An adjective meaning “soğutucu akışkan”, used to describe a condition, issue, status or requirement.",HVAC
damper,"A mechanical term meaning damper / yangın damperi, used in site, drawing, installation or coordination contexts.",HVAC
diffuser,"A mechanical term meaning difüzör / hava üfleyici eleman, used in site, drawing, installation or coordination contexts.",HVAC
discharge,"A mechanical term meaning deşarj / hava çıkışı, used in site, drawing, installation or coordination contexts.",HVAC
ductwork,"A mechanical term meaning kanal işi / hava kanalı sistemi, used in site, drawing, installation or coordination contexts.",HVAC
fan-coil,"A mechanical term meaning fan coil, used in site, drawing, installation or coordination contexts.",HVAC
humidifier,"A mechanical term meaning nemlendirici, used in site, drawing, installation or coordination contexts.",HVAC
louver,"A mechanical term meaning panjur / menfez, used in site, drawing, installation or coordination contexts.",HVAC
refrigerant,"An adjective meaning “soğutucu akışkan”, used to describe a condition, issue, status or requirement.",HVAC
ventilate,"A mechanical term meaning havalandırmak, used in site, drawing, installation or coordination contexts.",HVAC
acoustic,"An adjective meaning “akustik”, used to describe a condition, issue, status or requirement.",acoustics
flowrate,"A mechanical term meaning debi, used in site, drawing, installation or coordination contexts.",calculation
flush,"A mechanical term meaning yıkamak / flush etmek, used in site, drawing, installation or coordination contexts.",commissioning
flushed,"A mechanical term meaning flush edilmiş, used in site, drawing, installation or coordination contexts.",commissioning
flushing,"A mechanical term meaning yıkama / flush etme, used in site, drawing, installation or coordination contexts.",commissioning
cartridge,"A mechanical term meaning kartuş, used in site, drawing, installation or coordination contexts.",components
chamber,"A mechanical term meaning oda / hazne, used in site, drawing, installation or coordination contexts.",components
reducer,"A mechanical term meaning redüksiyon parçası, used in site, drawing, installation or coordination contexts.",components
CRAC unit fault,"A mechanical term meaning CRAC ünitesi arızası, used in site, drawing, installation or coordination contexts.",data center cooling
buffer,"A mechanical term meaning tampon / buffer, used in site, drawing, installation or coordination contexts.",elevator systems
counterweight,"A mechanical term meaning karşı ağırlık, used in site, drawing, installation or coordination contexts.",elevator systems
pulley,"A mechanical term meaning kasnak, used in site, drawing, installation or coordination contexts.",elevator systems
ambient,"An adjective meaning “ortam”, used to describe a condition, issue, status or requirement.",environmental conditions
climatic,"An adjective meaning “iklimsel”, used to describe a condition, issue, status or requirement.",environmental conditions
bearing,"A mechanical term meaning rulman / yatak, used in site, drawing, installation or coordination contexts.",equipment
carrier,"A mechanical term meaning taşıyıcı, used in site, drawing, installation or coordination contexts.",equipment
coupling,"A mechanical term meaning kaplin / bağlantı, used in site, drawing, installation or coordination contexts.",equipment
hydraulic,"An adjective meaning “hidrolik”, used to describe a condition, issue, status or requirement.",equipment
machinery,"A mechanical term meaning makine ekipmanı, used in site, drawing, installation or coordination contexts.",equipment
mechanically,"An adverb meaning “mekanik olarak”, used to describe how or when an action is done.",equipment
combustion,"A mechanical term meaning yanma, used in site, drawing, installation or coordination contexts.",fuel systems
silencer,"A mechanical term meaning susturucu, used in site, drawing, installation or coordination contexts.",generators
actuator,"A mechanical term meaning aktüatör, used in site, drawing, installation or coordination contexts.",instruments
lubricant,"An adjective meaning “yağlayıcı”, used to describe a condition, issue, status or requirement.",maintenance
lubricate,"A mechanical term meaning yağlamak, used in site, drawing, installation or coordination contexts.",maintenance
air intake ducts,"A mechanical term meaning hava hava girişi / giriş ducts, used in site, drawing, installation or coordination contexts.",mechanical systems
balancing valve,"A mechanical term meaning balans vanası, used in site, drawing, installation or coordination contexts.",mechanical systems
ball valve,"A mechanical term meaning küresel vana, used in site, drawing, installation or coordination contexts.",mechanical systems
battery cabinet,"A mechanical term meaning akü kabini, used in site, drawing, installation or coordination contexts.",mechanical systems
booster pump,"A mechanical term meaning hidrofor pompası, used in site, drawing, installation or coordination contexts.",mechanical systems
butterfly valve,"A mechanical term meaning kelebek vana, used in site, drawing, installation or coordination contexts.",mechanical systems
cabin area,"A mechanical term meaning kabin alan / bölge, used in site, drawing, installation or coordination contexts.",mechanical systems
cabin dimensions,"A mechanical term meaning kabin dimensions, used in site, drawing, installation or coordination contexts.",mechanical systems
cabin door,"A mechanical term meaning kabin kapısı, used in site, drawing, installation or coordination contexts.",mechanical systems
cabin floor,"A mechanical term meaning kabin kat / zemin, used in site, drawing, installation or coordination contexts.",mechanical systems
cabin wall,"A mechanical term meaning kabin duvar, used in site, drawing, installation or coordination contexts.",mechanical systems
check valve,"A mechanical term meaning çekvalf, used in site, drawing, installation or coordination contexts.",mechanical systems
chilled water pump,"A mechanical term meaning soğutulmuş su pompası, used in site, drawing, installation or coordination contexts.",mechanical systems
chiller fault,"A mechanical term meaning chiller arızası, used in site, drawing, installation or coordination contexts.",mechanical systems
chiller inspection,"A mechanical term meaning chiller kontrolü, used in site, drawing, installation or coordination contexts.",mechanical systems
chiller report,"A mechanical term meaning chiller raporu, used in site, drawing, installation or coordination contexts.",mechanical systems
chiller schedule,"A mechanical term meaning chiller programı/cetveli, used in site, drawing, installation or coordination contexts.",mechanical systems
chiller testing,"A mechanical term meaning chiller testi, used in site, drawing, installation or coordination contexts.",mechanical systems
circulation pump,"A mechanical term meaning sirkülasyon pompası, used in site, drawing, installation or coordination contexts.",mechanical systems
condensate pump,"A mechanical term meaning kondens pompası, used in site, drawing, installation or coordination contexts.",mechanical systems
conductors air,"A mechanical term meaning conductors hava, used in site, drawing, installation or coordination contexts.",mechanical systems
control valve actuator,"A mechanical term meaning kontrol vanası aktüatörü, used in site, drawing, installation or coordination contexts.",mechanical systems
control valve alarm,"A mechanical term meaning kontrol vanası alarmı, used in site, drawing, installation or coordination contexts.",mechanical systems
control valve calibration,"A mechanical term meaning kontrol vanası kalibrasyonu, used in site, drawing, installation or coordination contexts.",mechanical systems
control valve checklist,"A mechanical term meaning kontrol vanası kontrol listesi, used in site, drawing, installation or coordination contexts.",mechanical systems
control valve connection,"A mechanical term meaning kontrol vanası bağlantısı, used in site, drawing, installation or coordination contexts.",mechanical systems
control valve datasheet,"A mechanical term meaning kontrol vanası veri sayfası, used in site, drawing, installation or coordination contexts.",mechanical systems
control valve detail,"A mechanical term meaning kontrol vanası detayı, used in site, drawing, installation or coordination contexts.",mechanical systems
control valve fault,"A mechanical term meaning kontrol vanası arızası, used in site, drawing, installation or coordination contexts.",mechanical systems
control valve inspection,"A mechanical term meaning kontrol vanası kontrolü, used in site, drawing, installation or coordination contexts.",mechanical systems
control valve interface,"A mechanical term meaning kontrol vanası arayüzü, used in site, drawing, installation or coordination contexts.",mechanical systems
control valve layout,"A mechanical term meaning kontrol vanası yerleşimi, used in site, drawing, installation or coordination contexts.",mechanical systems
control valve maintenance,"A mechanical term meaning kontrol vanası bakımı, used in site, drawing, installation or coordination contexts.",mechanical systems
control valve manual,"A mechanical term meaning kontrol vanası kılavuzu, used in site, drawing, installation or coordination contexts.",mechanical systems
control valve nameplate,"A mechanical term meaning kontrol vanası etiket plakası, used in site, drawing, installation or coordination contexts.",mechanical systems
control valve procedure,"A mechanical term meaning kontrol vanası prosedürü, used in site, drawing, installation or coordination contexts.",mechanical systems
control valve report,"A mechanical term meaning kontrol vanası raporu, used in site, drawing, installation or coordination contexts.",mechanical systems
control valve schedule,"A mechanical term meaning kontrol vanası programı/cetveli, used in site, drawing, installation or coordination contexts.",mechanical systems
control valve status,"A mechanical term meaning kontrol vanası durumu, used in site, drawing, installation or coordination contexts.",mechanical systems
control valve testing,"A mechanical term meaning kontrol vanası testi, used in site, drawing, installation or coordination contexts.",mechanical systems
down conductor,"A mechanical term meaning down iletken, used in site, drawing, installation or coordination contexts.",mechanical systems
duct-type sensor,"A mechanical term meaning duct-type sensörü, used in site, drawing, installation or coordination contexts.",mechanical systems
earth conductor,"A mechanical term meaning toprak iletken, used in site, drawing, installation or coordination contexts.",mechanical systems
electrical shaft,"A mechanical term meaning elektriksel / elektrik şaft / kuyu, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator alarm,"A mechanical term meaning asansör alarmı, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator buffer spring,"A mechanical term meaning asansör tampon yayı, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator cabin,"A mechanical term meaning asansör kabini, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator cabin button,"A mechanical term meaning asansör kabin butonu, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator checklist,"A mechanical term meaning asansör kontrol listesi, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator connection,"A mechanical term meaning asansör bağlantısı, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator datasheet,"A mechanical term meaning asansör veri sayfası, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator detail,"A mechanical term meaning asansör detayı, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator door operator,"A mechanical term meaning asansör kapı operatörü, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator doors,"A mechanical term meaning asansör doors, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator emergency intercom,"A mechanical term meaning asansör acil interkom, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator fault,"A mechanical term meaning asansör arızası, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator guide shoe,"A mechanical term meaning asansör kılavuz pabuç, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator inspection,"A mechanical term meaning asansör kontrolü, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator interface,"A mechanical term meaning asansör arayüzü, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator landing button,"A mechanical term meaning asansör kat butonu, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator layout,"A mechanical term meaning asansör yerleşimi, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator maintenance,"A mechanical term meaning asansör bakımı, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator manual,"A mechanical term meaning asansör kılavuzu, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator nameplate,"A mechanical term meaning asansör etiket plakası, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator overload sensor,"A mechanical term meaning asansör aşırı yük sensörü, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator pit ladder,"A mechanical term meaning asansör kuyu merdiveni, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator procedure,"A mechanical term meaning asansör prosedürü, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator pulley room,"A mechanical term meaning asansör kasnak odası, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator rails,"A mechanical term meaning asansör rails, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator report,"A mechanical term meaning asansör raporu, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator safety gear,"A mechanical term meaning asansör güvenlik tertibatı, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator schedule,"A mechanical term meaning asansör programı/cetveli, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator shaft,"A mechanical term meaning asansör kuyusu, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator speed governor,"A mechanical term meaning asansör hız regülatörü, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator status,"A mechanical term meaning asansör durumu, used in site, drawing, installation or coordination contexts.",mechanical systems
elevator testing,"A mechanical term meaning asansör testi, used in site, drawing, installation or coordination contexts.",mechanical systems
excessively exhaust fans,"A mechanical term meaning aşırı şekilde egzoz / egzoz havası fans, used in site, drawing, installation or coordination contexts.",mechanical systems
exhaust air fan,"A mechanical term meaning egzoz havası fanı, used in site, drawing, installation or coordination contexts.",mechanical systems
exhaust ducts,"A mechanical term meaning egzoz / egzoz havası ducts, used in site, drawing, installation or coordination contexts.",mechanical systems
exhaust fans,"A mechanical term meaning egzoz / egzoz havası fans, used in site, drawing, installation or coordination contexts.",mechanical systems
existing elevator shaft,"A mechanical term meaning mevcut asansör şaft / kuyu, used in site, drawing, installation or coordination contexts.",mechanical systems
fan alarm,"A mechanical term meaning fan alarmı, used in site, drawing, installation or coordination contexts.",mechanical systems
fan checklist,"A mechanical term meaning fan kontrol listesi, used in site, drawing, installation or coordination contexts.",mechanical systems
fan connection,"A mechanical term meaning fan bağlantısı, used in site, drawing, installation or coordination contexts.",mechanical systems
fan datasheet,"A mechanical term meaning fan veri sayfası, used in site, drawing, installation or coordination contexts.",mechanical systems
fan detail,"A mechanical term meaning fan detayı, used in site, drawing, installation or coordination contexts.",mechanical systems
fan fault,"A mechanical term meaning fan arızası, used in site, drawing, installation or coordination contexts.",mechanical systems
fan inspection,"A mechanical term meaning fan kontrolü, used in site, drawing, installation or coordination contexts.",mechanical systems
fan interface,"A mechanical term meaning fan arayüzü, used in site, drawing, installation or coordination contexts.",mechanical systems
fan layout,"A mechanical term meaning fan yerleşimi, used in site, drawing, installation or coordination contexts.",mechanical systems
fan maintenance,"A mechanical term meaning fan bakımı, used in site, drawing, installation or coordination contexts.",mechanical systems
fan manual,"A mechanical term meaning fan kılavuzu, used in site, drawing, installation or coordination contexts.",mechanical systems
fan nameplate,"A mechanical term meaning fan etiket plakası, used in site, drawing, installation or coordination contexts.",mechanical systems
fan procedure,"A mechanical term meaning fan prosedürü, used in site, drawing, installation or coordination contexts.",mechanical systems
fan report,"A mechanical term meaning fan raporu, used in site, drawing, installation or coordination contexts.",mechanical systems
fan schedule,"A mechanical term meaning fan programı/cetveli, used in site, drawing, installation or coordination contexts.",mechanical systems
fan status,"A mechanical term meaning fan durumu, used in site, drawing, installation or coordination contexts.",mechanical systems
fan testing,"A mechanical term meaning fan testi, used in site, drawing, installation or coordination contexts.",mechanical systems
fire pump,"A mechanical term meaning yangın pompası, used in site, drawing, installation or coordination contexts.",mechanical systems
fire pumps,"A mechanical term meaning yangın pumps, used in site, drawing, installation or coordination contexts.",mechanical systems
firefighter elevator,"A mechanical term meaning itfaiyeci asansör, used in site, drawing, installation or coordination contexts.",mechanical systems
flare,"A mechanical term meaning flare / yakma bacası, used in site, drawing, installation or coordination contexts.",mechanical systems
fresh air fan,"A mechanical term meaning taze hava fanı, used in site, drawing, installation or coordination contexts.",mechanical systems
gate valve,"A mechanical term meaning sürgülü vana, used in site, drawing, installation or coordination contexts.",mechanical systems
hot water pump,"A mechanical term meaning sıcak su pompası, used in site, drawing, installation or coordination contexts.",mechanical systems
isolation valve,"A mechanical term meaning izolasyon vanası, used in site, drawing, installation or coordination contexts.",mechanical systems
jockey pump,"A mechanical term meaning jokey pompa, used in site, drawing, installation or coordination contexts.",mechanical systems
kitchen extract fan,"A mechanical term meaning mutfak egzozu fanı, used in site, drawing, installation or coordination contexts.",mechanical systems
lifting operation procedure,"A mechanical term meaning kaldırma operasyonu prosedürü, used in site, drawing, installation or coordination contexts.",mechanical systems
lifting plan procedure,"A mechanical term meaning kaldırma planı prosedürü, used in site, drawing, installation or coordination contexts.",mechanical systems
machine roomless elevator,"A mechanical term meaning makine roomless asansör, used in site, drawing, installation or coordination contexts.",mechanical systems
main pump stations,"A mechanical term meaning ana pompa stations, used in site, drawing, installation or coordination contexts.",mechanical systems
monitor lift malfunctions,"A mechanical term meaning izlemek kaldırmak malfunctions, used in site, drawing, installation or coordination contexts.",mechanical systems
motorized valve,"A mechanical term meaning motorlu vana, used in site, drawing, installation or coordination contexts.",mechanical systems
pressure relief valve,"A mechanical term meaning basınç tahliye vanası, used in site, drawing, installation or coordination contexts.",mechanical systems
pulley room,"A mechanical term meaning kasnak odası, used in site, drawing, installation or coordination contexts.",mechanical systems
pump alarm,"A mechanical term meaning pompa alarmı, used in site, drawing, installation or coordination contexts.",mechanical systems
pump checklist,"A mechanical term meaning pompa kontrol listesi, used in site, drawing, installation or coordination contexts.",mechanical systems
pump connection,"A mechanical term meaning pompa bağlantısı, used in site, drawing, installation or coordination contexts.",mechanical systems
pump datasheet,"A mechanical term meaning pompa veri sayfası, used in site, drawing, installation or coordination contexts.",mechanical systems
pump detail,"A mechanical term meaning pompa detayı, used in site, drawing, installation or coordination contexts.",mechanical systems
pump fault,"A mechanical term meaning pompa arızası, used in site, drawing, installation or coordination contexts.",mechanical systems
pump inspection,"A mechanical term meaning pompa kontrolü, used in site, drawing, installation or coordination contexts.",mechanical systems
pump interface,"A mechanical term meaning pompa arayüzü, used in site, drawing, installation or coordination contexts.",mechanical systems
pump layout,"A mechanical term meaning pompa yerleşimi, used in site, drawing, installation or coordination contexts.",mechanical systems
pump maintenance,"A mechanical term meaning pompa bakımı, used in site, drawing, installation or coordination contexts.",mechanical systems
pump manual,"A mechanical term meaning pompa kılavuzu, used in site, drawing, installation or coordination contexts.",mechanical systems
pump nameplate,"A mechanical term meaning pompa etiket plakası, used in site, drawing, installation or coordination contexts.",mechanical systems
pump procedure,"A mechanical term meaning pompa prosedürü, used in site, drawing, installation or coordination contexts.",mechanical systems
pump report,"A mechanical term meaning pompa raporu, used in site, drawing, installation or coordination contexts.",mechanical systems
pump schedule,"A mechanical term meaning pompa programı/cetveli, used in site, drawing, installation or coordination contexts.",mechanical systems
pump skid,"A mechanical term meaning pompa skidi, used in site, drawing, installation or coordination contexts.",mechanical systems
pump status,"A mechanical term meaning pompa durumu, used in site, drawing, installation or coordination contexts.",mechanical systems
pump testing,"A mechanical term meaning pompa testi, used in site, drawing, installation or coordination contexts.",mechanical systems
return air fan,"A mechanical term meaning dönüş havası fanı, used in site, drawing, installation or coordination contexts.",mechanical systems
shaft bottom,"A mechanical term meaning şaft / kuyu bottom, used in site, drawing, installation or coordination contexts.",mechanical systems
shaft ceiling,"A mechanical term meaning şaft / kuyu tavan, used in site, drawing, installation or coordination contexts.",mechanical systems
shaft dimensions,"A mechanical term meaning şaft / kuyu dimensions, used in site, drawing, installation or coordination contexts.",mechanical systems
shaft interior switch,"A mechanical term meaning şaft / kuyu interior anahtarı/şalteri, used in site, drawing, installation or coordination contexts.",mechanical systems
