term,turkishMeaning,definition,exampleSentence,turkishExample,domain
hall,salon / hol / data hall,"A civil term meaning salon / hol / data hall, used in site, drawing, installation or coordination contexts.",The hall must be confirmed before the work continues.,İşe devam etmeden önce salon / hol / data hall teyit edilmelidir.,civil
wire,tel / kablo,"A electrical term meaning tel / kablo, used in site, drawing, installation or coordination contexts.",The supervisor asked the team to recheck the wire after installation.,Saha şefi montajdan sonra tel yeniden kontrol etmelerini istedi.,electrical
button,buton / düğme,"A electrical term meaning buton / düğme, used in site, drawing, installation or coordination contexts.",The button must be verified before energising the panel.,Pano enerjilendirilmeden önce buton doğrulanmalıdır.,electrical
IT server,BT sunucu,"A electrical term meaning BT sunucu, used in site, drawing, installation or coordination contexts.",The IT server must be connected to the UPS panel before testing.,Testten önce BT sunucusu UPS panosuna bağlanmalıdır.,electrical
electricity,elektrik,"A electrical term meaning elektrik, used in site, drawing, installation or coordination contexts.",Please check the electricity before the next inspection.,Lütfen bir sonraki muayeneden önce elektrik kontrol edin.,electrical
plug,fiş,"A electrical term meaning fiş, used in site, drawing, installation or coordination contexts.",The plug must be confirmed before the work continues.,İşe devam etmeden önce fiş teyit edilmelidir.,electrical
bulb,ampul,"A electrical term meaning ampul, used in site, drawing, installation or coordination contexts.",The bulb must be ready before functional testing starts.,Fonksiyon testi başlamadan önce ampul hazır olmalıdır.,electrical
light,ışık / hafif,"A electrical term meaning ışık / hafif, used in site, drawing, installation or coordination contexts.",The supervisor asked the team to recheck the light after installation.,Saha şefi montajdan sonra ışık yeniden kontrol etmelerini istedi.,electrical
line,hat / çizgi,"A electrical term meaning hat / çizgi, used in site, drawing, installation or coordination contexts.",The line must be verified before energising the panel.,Pano enerjilendirilmeden önce hat doğrulanmalıdır.,electrical
socket,priz,"A electrical term meaning priz, used in site, drawing, installation or coordination contexts.",Please check the socket before the next inspection.,Lütfen bir sonraki muayeneden önce priz kontrol edin.,electrical
camera,kamera,"A electrical term meaning kamera, used in site, drawing, installation or coordination contexts.",The camera must be confirmed before the work continues.,İşe devam etmeden önce kamera teyit edilmelidir.,electrical
switch,anahtar / şalter,"A electrical term meaning anahtar / şalter, used in site, drawing, installation or coordination contexts.",Please compare the switch with the approved electrical drawing.,Lütfen anahtar onaylı elektrik çizimiyle karşılaştırın.,electrical
news,haber,"An education and learning term meaning haber, used for self-study, courses or technical learning.",The news appeared in today’s English lesson.,Haber bugünkü İngilizce dersinde geçti.,general-english
newspaper,gazete,"An education and learning term meaning gazete, used for self-study, courses or technical learning.",Please write the newspaper in your vocabulary notebook.,Lütfen gazete kelimesini kelime defterine yaz.,general-english
online,çevrim içi,"An adverb meaning “çevrim içi”, used to describe how or when an action is done.",We completed the safety training online.,İş güvenliği eğitimini çevrim içi tamamladık.,general-english
video,video,"An education and learning term meaning video, used for self-study, courses or technical learning.",The video appeared in today’s English lesson.,Video bugünkü İngilizce dersinde geçti.,general-english
card,kart,"A finance/admin term meaning kart, used for payments, salary, banking, tax, visa or document communication.",The accountant reviewed the card before month-end closing.,Muhasebeci ay kapanışından önce kart gözden geçirdi.,EngGen
address,adres / adreslemek,"A travel English term meaning adres / adreslemek, used for airport, hotel, taxi, restaurant or relocation situations.",I need to confirm the address before I arrive.,Gelmeden önce adres / adreslemek konusunu teyit etmem gerekiyor.,general-english
answer,cevap,"An education and learning term meaning cevap, used for self-study, courses or technical learning.",The answer appeared in today’s English lesson.,Cevap bugünkü İngilizce dersinde geçti.,general-english
ask,sormak,"To ask something in a work, site or daily communication context.",Could you ask the supplier for the latest delivery date?,Tedarikçiden en güncel teslim tarihini sorabilir misiniz?,general-english
believe,inanmak,"To believe something in a work, site or daily communication context.",I believe the panel is ready for inspection.,Panelin inspeksiyona hazır olduğuna inanıyorum.,general-english
bring,getirmek,"To bring something in a work, site or daily communication context.",Please bring the checklist to the meeting.,Lütfen toplantıya kontrol listesini getirin.,general-english
call,arama / çağrı,"To call something in a work, site or daily communication context.",Please call the information before submitting the report.,Raporu göndermeden önce bilgiyi arama edin.,general-english
choose,seçmek,"To choose something in a work, site or daily communication context.",We need to choose the safest option.,En güvenli seçeneği seçmemiz gerekiyor.,general-english
fine,iyi / ceza,"A practical English term meaning iyi / ceza, used in daily work-life communication.",The fine must be paid before the permit can be renewed.,İzin yenilenmeden önce cezanın ödenmesi gerekir.,general-english
great,harika / büyük,"A practical English term meaning harika / büyük, used in daily work-life communication.",This is a great point in the current discussion.,"Bu, mevcut görüşmede harika bir noktadır.",general-english
happen,olmak / meydana gelmek,"To happen something in a work, site or daily communication context.",What happened during the generator test?,Jeneratör testi sırasında ne oldu?,general-english
hear,duymak,"To hear something in a work, site or daily communication context.",I could not hear the last comment in the meeting.,Toplantıdaki son yorumu duyamadım.,general-english
help,yardım,"To help something in a work, site or daily communication context.",Please help the site team with the inspection.,Lütfen denetimde saha ekibine yardım edin.,general-english
hope,umut / ummak,"A practical English term meaning umut / ummak, used in daily work-life communication.",I hope the revised drawing is approved before the site meeting.,Revize çizimin saha toplantısından önce onaylanmasını umuyorum.,general-english
information,bilgi,"An education and learning term meaning bilgi, used for self-study, courses or technical learning.",The information appeared in today’s English lesson.,Bilgi bugünkü İngilizce dersinde geçti.,general-english
language,dil,"An education and learning term meaning dil, used for self-study, courses or technical learning.",Please write the language in your vocabulary notebook.,Lütfen dil kelimesini kelime defterine yaz.,general-english
message,mesaj,"A practical English term meaning mesaj, used in daily work-life communication.",I sent a message to the contractor after the meeting.,Toplantıdan sonra yükleniciye mesaj gönderdim.,general-english
picture,resim / fotoğraf,"A practical English term meaning resim / fotoğraf, used in daily work-life communication.",Please send a picture of the damaged label.,Lütfen hasarlı etiketin fotoğrafını gönderin.,general-english
problem,problem / sorun,"A practical English term meaning problem / sorun, used in daily work-life communication.",The problem must be solved before handover.,Sorun teslimden önce çözülmelidir.,general-english
quickly,hızlıca,"An adverb meaning “hızlıca”, used to describe how or when an action is done.",Please respond quickly if the consultant sends comments.,Danışman yorum gönderirse lütfen hızlıca yanıt verin.,general-english
really,gerçekten,"An adverb meaning “gerçekten”, used to describe how or when an action is done.",The issue is really important for the handover.,Bu konu handover için gerçekten önemli.,general-english
send,göndermek,"To send something in a work, site or daily communication context.",Please send the report before 5 p.m.,Lütfen raporu saat 5’ten önce gönderin.,general-english
sending,gönderme,"A practical English term meaning gönderme, used in daily work-life communication.",Sending the materials in the correct area will prevent site congestion.,Malzemelerin doğru alanda gönderme saha yoğunluğunu önler.,general-english
sent,gönderilmiş,"An adjective meaning “gönderilmiş”, used to describe a condition, issue, status or requirement.",The sent email must be attached to the project record.,Gönderilen e-posta proje kaydına eklenmelidir.,general-english
slowly,yavaşça,"An adverb meaning “yavaşça”, used to describe how or when an action is done.",Please respond slowly if the consultant sends comments.,Danışman yorum gönderirse lütfen yavaşça yanıt verin.,general-english
something,bir şey,"A practical English term meaning bir şey, used in daily work-life communication.",Something the materials in the correct area will prevent site congestion.,Malzemelerin doğru alanda bir şey saha yoğunluğunu önler.,general-english
soon,yakında,"An adverb meaning “yakında”, used to describe how or when an action is done.",We should close this item soon.,Bu maddeyi yakında kapatmalıyız.,general-english
together,birlikte,"An adverb meaning “birlikte”, used to describe how or when an action is done.",Please respond together if the consultant sends comments.,Danışman yorum gönderirse lütfen birlikte yanıt verin.,general-english
understand,anlamak,"A practical English term meaning anlamak, used in daily work-life communication.","I understand the problem, but we still need written confirmation.",Sorunu anlıyorum ama yine de yazılı teyit almamız gerekiyor.,general-english
bag,çanta,"A practical English term meaning çanta, used in daily work-life communication.",I left my bag in the site office.,Çantamı saha ofisinde bıraktım.,general-english
bank,banka,"A finance/admin term meaning banka, used for payments, salary, banking, tax, visa or document communication.",The bank transfer may take two working days.,Banka transferi iki iş günü sürebilir.,EngGen
bill,fatura,"A finance/admin term meaning fatura, used for payments, salary, banking, tax, visa or document communication.",Please confirm the bill before I make the payment.,Ödeme yapmadan önce lütfen fatura konusunu teyit edin.,EngGen
box,kutu,"A practical English term meaning kutu, used in daily work-life communication.",The box contains spare labels for the panels.,Kutuda panolar için yedek etiketler var.,general-english
bread,ekmek,"A practical English term meaning ekmek, used in daily work-life communication.",I bought bread before returning to the hotel.,Otele dönmeden önce ekmek aldım.,general-english
cash,nakit,"A finance/admin term meaning nakit, used for payments, salary, banking, tax, visa or document communication.",Please confirm the cash before I make the payment.,Ödeme yapmadan önce lütfen nakit konusunu teyit edin.,EngGen
daily,günlük,"An adverb meaning “günlük”, used to describe how or when an action is done.",Please respond daily if the consultant sends comments.,Danışman yorum gönderirse lütfen günlük yanıt verin.,general-english
day,gün,"A practical English term meaning gün, used in daily work-life communication.",The delivery date was moved to the next day.,Teslimat tarihi ertesi güne alındı.,general-english
empty,boş,"A practical English term meaning boş, used in daily work-life communication.",The room is empty and ready for inspection.,Oda boş ve denetime hazır.,general-english
key,anahtar,"A practical English term meaning anahtar, used in daily work-life communication.",The key is with the site supervisor.,Anahtar saha şefindedir.,general-english
live,yaşamak / canlı,"An adjective meaning “yaşamak / canlı”, used to describe a condition, issue, status or requirement.","The panel is live, so do not touch the terminals.","Pano enerjili, bu yüzden terminallere dokunmayın.",general-english
phone,telefon,"A practical English term meaning telefon, used in daily work-life communication.",My phone is charging in the office.,Telefonum ofiste şarj oluyor.,general-english
photo,fotoğraf,"A practical English term meaning fotoğraf, used in daily work-life communication.",Please take a photo of the completed installation.,Lütfen tamamlanan montajın fotoğrafını çekin.,general-english
piece,parça,"A practical English term meaning parça, used in daily work-life communication.",One piece is missing from the delivery.,Teslimatta bir parça eksik.,general-english
table,masa / tablo,"An adjective meaning “masa / tablo”, used to describe a condition, issue, status or requirement.",Please add the cable quantities to the table.,Lütfen kablo miktarlarını tabloya ekleyin.,general-english
yesterday,dün,"A practical English term meaning dün, used in daily work-life communication.",We received the updated drawing yesterday.,Güncellenmiş çizimi dün aldık.,general-english
paper,kâğıt / makale,"A practical English term meaning kâğıt / makale, used in daily work-life communication.",The meaning of paper was clear from the context.,Kâğıt anlamı bağlamdan açıkça anlaşılıyordu.,general-english
about,hakkında,"A practical English term meaning hakkında, used in daily work-life communication.",We talked about the delivery schedule after lunch.,Öğle yemeğinden sonra teslimat programı hakkında konuştuk.,general-english
above,üstünde / yukarıda,"A practical English term meaning üstünde / yukarıda, used in daily work-life communication.",The cable tray is above the ceiling grid.,Kablo tavası asma tavan ızgarasının üstündedir.,general-english
after,sonra,"A practical English term meaning sonra, used in daily work-life communication.",We checked the room after the inspection.,Denetimden sonra odayı kontrol ettik.,general-english
again,tekrar,"A practical English term meaning tekrar, used in daily work-life communication.",Please check the drawing again before sending it.,Lütfen çizimi göndermeden önce tekrar kontrol edin.,general-english
all,tüm / hepsi,"A practical English term meaning tüm / hepsi, used in daily work-life communication.",This is a all point in the current discussion.,"Bu, mevcut görüşmede tüm bir noktadır.",general-english
always,her zaman,"An adverb meaning “her zaman”, used to describe how or when an action is done.",Please respond always if the consultant sends comments.,Danışman yorum gönderirse lütfen her zaman yanıt verin.,general-english
and,ve,"A practical English term meaning ve, used in daily work-life communication.",Use and to connect two related ideas in a sentence.,Bir cümlede iki ilgili fikri bağlamak için and kullanılır.,general-english
anything,herhangi bir şey,"A practical English term meaning herhangi bir şey, used in daily work-life communication.",Anything the materials in the correct area will prevent site congestion.,Malzemelerin doğru alanda herhangi bir şey saha yoğunluğunu önler.,general-english
bad,kötü,"A practical English term meaning kötü, used in daily work-life communication.",The weather was bad during the site visit.,Saha ziyareti sırasında hava kötüydü.,general-english
basic,temel,"An adjective meaning “temel”, used to describe a condition, issue, status or requirement.",This is a basic point in the current discussion.,"Bu, mevcut görüşmede temel bir noktadır.",general-english
before,önce,"A practical English term meaning önce, used in daily work-life communication.",Please complete the checklist before the inspection starts.,Lütfen inspeksiyon başlamadan önce kontrol listesini tamamlayın.,general-english
behind,arkasında,"A practical English term meaning arkasında, used in daily work-life communication.",The storage area is behind the site office.,Depolama alanı saha ofisinin arkasındadır.,general-english
below,altında / aşağıda,"A practical English term meaning altında / aşağıda, used in daily work-life communication.",The note below the table explains the quantity.,Tablonun altındaki not miktarı açıklar.,general-english
better,daha iyi,"A practical English term meaning daha iyi, used in daily work-life communication.",This option is better for the site schedule.,Bu seçenek saha programı için daha iyidir.,general-english
between,arasında,"A practical English term meaning arasında, used in daily work-life communication.",The cable route runs between the main panel and the mechanical room.,Kablo güzergâhı ana pano ile mekanik oda arasından geçiyor.,general-english
common,ortak / yaygın,"An adjective meaning “ortak / yaygın”, used to describe a condition, issue, status or requirement.",This is a common point in the current discussion.,"Bu, mevcut görüşmede ortak bir noktadır.",general-english
difficult,zor,"A practical English term meaning zor, used in daily work-life communication.",The access route is difficult for large equipment.,Erişim yolu büyük ekipman için zordur.,general-english
double,çift,"A practical English term meaning çift, used in daily work-life communication.",Please double-check the panel label before energization.,Enerjilendirmeden önce pano etiketini iki kez kontrol edin.,general-english
easy,kolay,"A practical English term meaning kolay, used in daily work-life communication.",The new form is easy to complete.,Yeni formu doldurmak kolaydır.,general-english
else,başka,"A practical English term meaning başka, used in daily work-life communication.",Ask someone else if the supervisor is not available.,Şef uygun değilse başka birine sorun.,general-english
far,uzak,"A practical English term meaning uzak, used in daily work-life communication.",The warehouse is far from the main entrance.,Depo ana girişten uzaktır.,general-english
fast,hızlı,"A practical English term meaning hızlı, used in daily work-life communication.",The team worked fast to close the issue.,Ekip sorunu kapatmak için hızlı çalıştı.,general-english
front,ön,"A practical English term meaning ön, used in daily work-life communication.",The label must be visible from the front of the panel.,Etiket panonun ön tarafından görülebilmelidir.,general-english
half,yarım,"A practical English term meaning yarım, used in daily work-life communication.",Half of the documents are still missing.,Belgelerin yarısı hâlâ eksik.,general-english
important,önemli,"An adjective meaning “önemli”, used to describe a condition, issue, status or requirement.",This is a important point in the current discussion.,"Bu, mevcut görüşmede önemli bir noktadır.",general-english
inside,içinde / iç taraf,"A practical English term meaning içinde / iç taraf, used in daily work-life communication.",The spare keys are inside the site office.,Yedek anahtarlar saha ofisinin içindedir.,general-english
large,büyük,"A practical English term meaning büyük, used in daily work-life communication.",The large equipment needs a clear access route.,Büyük ekipman için açık bir erişim yolu gerekir.,general-english
late,geç,"A practical English term meaning geç, used in daily work-life communication.",The delivery was late because of customs clearance.,Teslimat gümrük işlemleri nedeniyle gecikti.,general-english
little,az / küçük,"A practical English term meaning az / küçük, used in daily work-life communication.",We need a little more time to finish the checklist.,Kontrol listesini bitirmek için biraz daha zamana ihtiyacımız var.,general-english
low,düşük,"A practical English term meaning düşük, used in daily work-life communication.",The voltage is low at the end of the cable run.,Kablo hattının sonunda gerilim düşüktür.,general-english
normal,normal,"An adjective meaning “normal”, used to describe a condition, issue, status or requirement.",This is a normal point in the current discussion.,"Bu, mevcut görüşmede normal bir noktadır.",general-english
often,sık sık,"An adverb meaning “sık sık”, used to describe how or when an action is done.",Please respond often if the consultant sends comments.,Danışman yorum gönderirse lütfen sık sık yanıt verin.,general-english
open,açmak / açık,"To open something in a work, site or daily communication context.",Please open the drawing file before the review.,Lütfen incelemeden önce çizim dosyasını açın.,general-english
outside,dışında / dışarıda,"A practical English term meaning dışında / dışarıda, used in daily work-life communication.",The team waited outside the electrical room.,Ekip elektrik odasının dışında bekledi.,general-english
short,kısa,"A practical English term meaning kısa, used in daily work-life communication.",The cable is short and must be replaced.,Kablo kısa ve değiştirilmesi gerekiyor.,general-english
single,tek,"A practical English term meaning tek, used in daily work-life communication.",A single missing label can delay the inspection.,Tek bir eksik etiket denetimi geciktirebilir.,general-english
sometimes,bazen,"An adverb meaning “bazen”, used to describe how or when an action is done.",Please respond sometimes if the consultant sends comments.,Danışman yorum gönderirse lütfen bazen yanıt verin.,general-english
usually,genellikle,"An adverb meaning “genellikle”, used to describe how or when an action is done.",Please respond usually if the consultant sends comments.,Danışman yorum gönderirse lütfen genellikle yanıt verin.,general-english
without,olmadan,"A practical English term meaning olmadan, used in daily work-life communication.",Do not start work without safety approval.,İş güvenliği onayı olmadan işe başlamayın.,general-english
black,siyah / blackout bağlamı,"A practical English term meaning siyah / blackout bağlamı, used in daily work-life communication.",The black cable is used for the control circuit.,Siyah kablo kontrol devresi için kullanılır.,general-english
bus,bara / bus hattı,"A travel English term meaning bara / bus hattı, used for airport, hotel, taxi, restaurant or relocation situations.","Could you help me with the bus, please?",Lütfen bara / bus hattı konusunda bana yardımcı olur musunuz?,general-english
car,araç / kabin,"A travel English term meaning araç / kabin, used for airport, hotel, taxi, restaurant or relocation situations.",The car is important for my trip tomorrow.,Seyahatten önce araç / kabin ile ilgili bilgiyi kontrol etmem gerekiyor.,general-english
child,çocuk,"A practical English term meaning çocuk, used in daily work-life communication.",The child waited with his mother in the hospital lobby.,Çocuk annesiyle birlikte hastane lobisinde bekledi.,general-english
city,şehir / şehir şebekesi,"A practical English term meaning şehir / şehir şebekesi, used in daily work-life communication.",The city traffic was heavier than expected this morning.,Bu sabah şehir trafiği beklenenden yoğundu.,general-english
coffee,kahve,"A social and cultural English term meaning kahve, used in small talk, casual conversation or culture discussions.",The coffee was important in the short discussion.,Kısa görüşmede kahve önemliydi.,general-english
computer,bilgisayar,"A practical English term meaning bilgisayar, used in daily work-life communication.",The computer must be connected to the site network before use.,Bilgisayar kullanılmadan önce saha ağına bağlanmalıdır.,general-english
first,ilk / birinci,"A practical English term meaning ilk / birinci, used in daily work-life communication.",The first inspection will start at 9 a.m.,İlk denetim saat 9’da başlayacak.,general-english
full,tam,"A practical English term meaning tam, used in daily work-life communication.",The report must include the full equipment list.,Rapor tam ekipman listesini içermelidir.,general-english
green,yeşil,"A practical English term meaning yeşil, used in daily work-life communication.",The green label identifies the emergency circuit.,Yeşil etiket acil durum devresini gösterir.,general-english
high,yüksek,"A practical English term meaning yüksek, used in daily work-life communication.",The temperature is high inside the panel room.,Pano odasının içinde sıcaklık yüksektir.,general-english
internet,internet,"A practical English term meaning internet, used in daily work-life communication.",The internet connection was unstable during the online meeting.,Çevrim içi toplantı sırasında internet bağlantısı dengesizdi.,general-english
long,uzun,"A practical English term meaning uzun, used in daily work-life communication.","The cable route is long, so voltage drop must be checked.",Kablo güzergâhı uzun olduğu için gerilim düşümü kontrol edilmelidir.,general-english
lunch,öğle yemeği,"A practical English term meaning öğle yemeği, used in daily work-life communication.",We discussed the site plan during lunch.,Öğle yemeğinde saha planını konuştuk.,general-english
mobile,mobil,"A practical English term meaning mobil, used in daily work-life communication.",The mobile phone must be charged before the site visit.,Saha ziyareti öncesinde cep telefonu şarj edilmelidir.,general-english
number,sayı / adet,"A practical English term meaning sayı / adet, used in daily work-life communication.",Please write the correct number on the inspection form.,Lütfen doğru numarayı inspeksiyon formuna yazın.,general-english
off,kapalı / devre dışı,"A practical English term meaning kapalı / devre dışı, used in daily work-life communication.",The breaker is off during maintenance.,Bakım sırasında kesici kapalıdır.,general-english
out,dışarı / çıkış,"A practical English term meaning dışarı / çıkış, used in daily work-life communication.",The engineer went out to check the delivery.,Mühendis teslimatı kontrol etmek için dışarı çıktı.,general-english
same,aynı,"A practical English term meaning aynı, used in daily work-life communication.",The same issue appeared in two different rooms.,Aynı sorun iki farklı odada görüldü.,general-english
side,taraf / yan,"A practical English term meaning taraf / yan, used in daily work-life communication.",The cable tray continues along the left side of the corridor.,Kablo tavası koridorun sol tarafı boyunca devam ediyor.,general-english
small,küçük,"A practical English term meaning küçük, used in daily work-life communication.",A small change in the route can affect the schedule.,Güzergâhtaki küçük bir değişiklik programı etkileyebilir.,general-english
staff,personel,"A practical English term meaning personel, used in daily work-life communication.",The site staff attended the morning safety briefing.,Saha personeli sabah güvenlik bilgilendirmesine katıldı.,general-english
start,başlatma / başlangıç,"To start something in a work, site or daily communication context.",Please start the inspection after the area is safe.,Alan güvenli olduktan sonra lütfen denetimi başlatın.,general-english
stop,durak / durdurma,"To stop something in a work, site or daily communication context.",Please stop the work until the safety approval is received.,İş güvenliği onayı alınana kadar lütfen çalışmayı durdurun.,general-english
taxi,taksi,"A travel English term meaning taksi, used for airport, hotel, taxi, restaurant or relocation situations.",I need to confirm the taxi before I arrive.,Gelmeden önce taksi konusunu teyit etmem gerekiyor.,general-english
three,üç,"A practical English term meaning üç, used in daily work-life communication.",Three documents are still missing from the file.,Dosyada hâlâ üç belge eksik.,general-english
time,zaman / süre,"A practical English term meaning zaman / süre, used in daily work-life communication.",The meeting time has changed.,Toplantı saati değişti.,general-english
two,iki,"A practical English term meaning iki, used in daily work-life communication.",Two panels are ready for inspection.,İki pano denetime hazır.,general-english
up,yukarı / devrede,"A practical English term meaning yukarı / devrede, used in daily work-life communication.",Please move the cable up to clear the access route.,Erişim yolunu açmak için lütfen kabloyu yukarı alın.,general-english
use,kullanım,"To use something in a work, site or daily communication context.",Please use the approved template for the report.,Lütfen rapor için onaylı şablonu kullanın.,general-english
way,yol / yön,"A practical English term meaning yol / yön, used in daily work-life communication.",This is the safest way to access the room.,Odaya erişmek için en güvenli yol budur.,general-english
white,beyaz,"A practical English term meaning beyaz, used in daily work-life communication.",The white label must be fixed on the front cover.,Beyaz etiket ön kapağa sabitlenmelidir.,general-english
care,bakım / önemsemek,"A practical English term meaning bakım / önemsemek, used in daily work-life communication.",Take care when working near live equipment.,Enerjili ekipman yakınında çalışırken dikkatli olun.,general-english
doctor,doktor,"A practical English term meaning doktor, used in daily work-life communication.",The doctor checked the worker after the incident.,Doktor olaydan sonra işçiyi kontrol etti.,general-english
health,sağlık,"A practical English term meaning sağlık, used in daily work-life communication.",The health must be checked by the hospital team.,Sağlık hastane ekibi tarafından kontrol edilmelidir.,general-english
hospital,hastane,"An adjective meaning “hastane”, used to describe a condition, issue, status or requirement.",The hospital entrance must remain clear for emergency access.,Acil erişim için hastane girişi açık kalmalıdır.,general-english
nurse,hemşire,"A practical English term meaning hemşire, used in daily work-life communication.",The nurse helped the patient in the clinic.,Hemşire klinikte hastaya yardım etti.,general-english
patient,hasta,"An adjective meaning “hasta”, used to describe a condition, issue, status or requirement.",The patient was moved to the hospital room.,Hasta hastane odasına taşındı.,general-english
apartment,apartman / daire,"An adjective meaning “apartman / daire”, used to describe a condition, issue, status or requirement.",The apartment address must be written correctly on the rental form.,Kira formunda daire adresi doğru yazılmalıdır.,general-english
bath,banyo / küvet,"A practical English term meaning banyo / küvet, used in daily work-life communication.",The bath area must be cleaned before handover.,Banyo alanı teslimden önce temizlenmelidir.,general-english
bathroom,banyo,"A practical English term meaning banyo, used in daily work-life communication.",The bathroom light must be repaired today.,Banyo lambası bugün tamir edilmelidir.,general-english
bed,yatak,"A practical English term meaning yatak, used in daily work-life communication.",The patient bed must have access to the medical gas and power outlets.,Hasta yatağında medikal gaz ve elektrik prizlerine erişim olmalıdır.,general-english
bedroom,yatak odası,"A practical English term meaning yatak odası, used in daily work-life communication.",The bedroom socket is not working.,Yatak odasındaki priz çalışmıyor.,general-english
blanket,battaniye,"A practical English term meaning battaniye, used in daily work-life communication.",I need a blanket because the room is cold.,Oda soğuk olduğu için bir battaniyeye ihtiyacım var.,general-english
chair,sandalye,"A practical English term meaning sandalye, used in daily work-life communication.",The chair in the meeting room is broken.,Toplantı odasındaki sandalye kırık.,general-english
home,ev,"A practical English term meaning ev, used in daily work-life communication.",I will call home after the meeting.,Toplantıdan sonra evi arayacağım.,general-english
kitchen,mutfak,"A practical English term meaning mutfak, used in daily work-life communication.",The kitchen exhaust fan must be connected to the control panel.,Mutfak egzoz fanı kontrol panosuna bağlanmalıdır.,general-english
mirror,ayna,"A practical English term meaning ayna, used in daily work-life communication.",The mirror in the bathroom must be replaced.,Banyodaki ayna değiştirilmelidir.,general-english
sofa,koltuk,"A practical English term meaning koltuk, used in daily work-life communication.",The sofa was delivered to the apartment today.,Koltuk bugün daireye teslim edildi.,general-english
stove,ocak,"A practical English term meaning ocak, used in daily work-life communication.",The stove must be checked before use.,Ocak kullanımdan önce kontrol edilmelidir.,general-english
toilet,tuvalet,"A practical English term meaning tuvalet, used in daily work-life communication.",The toilet must be cleaned before handover.,Tuvalet teslimden önce temizlenmelidir.,general-english
course,kurs / süreç,"An education and learning term meaning kurs / süreç, used for self-study, courses or technical learning.",The teacher explained the course with a simple example.,Öğretmen kurs konusunu basit bir örnekle anlattı.,general-english
learn,öğrenmek,"To learn something in a work, site or daily communication context.",I need to learn the new reporting procedure.,Yeni raporlama prosedürünü öğrenmem gerekiyor.,general-english
lesson,ders,"An education and learning term meaning ders, used for self-study, courses or technical learning.",Please write the lesson in your vocabulary notebook.,Lütfen ders kelimesini kelime defterine yaz.,general-english
meaning,anlam,"A practical English term meaning anlam, used in daily work-life communication.",Meaning the materials in the correct area will prevent site congestion.,Malzemelerin doğru alanda anlam saha yoğunluğunu önler.,general-english
mistake,hata,"A practical English term meaning hata, used in daily work-life communication.",The mistake was corrected before the report was submitted.,Hata rapor sunulmadan önce düzeltildi.,general-english
