term,definition,isTechnical,label
lunch,"A practical English term meaning öğle yemeği, used in daily work-life communication.",False,0
mobile,"A practical English term meaning mobil, used in daily work-life communication.",False,0
number,"A practical English term meaning sayı / adet, used in daily work-life communication.",False,0
off,"A practical English term meaning kapalı / devre dışı, used in daily work-life communication.",False,0
out,"A practical English term meaning dışarı / çıkış, used in daily work-life communication.",False,0
same,"A practical English term meaning aynı, used in daily work-life communication.",False,0
side,"A practical English term meaning taraf / yan, used in daily work-life communication.",False,0
small,"A practical English term meaning küçük, used in daily work-life communication.",False,0
staff,"A practical English term meaning personel, used in daily work-life communication.",False,0
start,"To start something in a work, site or daily communication context.",False,0
stop,"To stop something in a work, site or daily communication context.",False,0
taxi,"A travel English term meaning taksi, used for airport, hotel, taxi, restaurant or relocation situations.",False,0
three,"A practical English term meaning üç, used in daily work-life communication.",False,0
time,"A practical English term meaning zaman / süre, used in daily work-life communication.",False,0
two,"A practical English term meaning iki, used in daily work-life communication.",False,0
up,"A practical English term meaning yukarı / devrede, used in daily work-life communication.",False,0
use,"To use something in a work, site or daily communication context.",False,0
way,"A practical English term meaning yol / yön, used in daily work-life communication.",False,0
white,"A practical English term meaning beyaz, used in daily work-life communication.",False,0
care,"A practical English term meaning bakım / önemsemek, used in daily work-life communication.",False,0
doctor,"A practical English term meaning doktor, used in daily work-life communication.",False,0
health,"A practical English term meaning sağlık, used in daily work-life communication.",False,0
hospital,"An adjective meaning “hastane”, used to describe a condition, issue, status or requirement.",False,0
nurse,"A practical English term meaning hemşire, used in daily work-life communication.",False,0
patient,"An adjective meaning “hasta”, used to describe a condition, issue, status or requirement.",False,0
apartment,"An adjective meaning “apartman / daire”, used to describe a condition, issue, status or requirement.",False,0
bath,"A practical English term meaning banyo / küvet, used in daily work-life communication.",False,0
bathroom,"A practical English term meaning banyo, used in daily work-life communication.",False,0
bed,"A practical English term meaning yatak, used in daily work-life communication.",False,0
bedroom,"A practical English term meaning yatak odası, used in daily work-life communication.",False,0
blanket,"A practical English term meaning battaniye, used in daily work-life communication.",False,0
chair,"A practical English term meaning sandalye, used in daily work-life communication.",False,0
home,"A practical English term meaning ev, used in daily work-life communication.",False,0
kitchen,"A practical English term meaning mutfak, used in daily work-life communication.",False,0
mirror,"A practical English term meaning ayna, used in daily work-life communication.",False,0
sofa,"A practical English term meaning koltuk, used in daily work-life communication.",False,0
stove,"A practical English term meaning ocak, used in daily work-life communication.",False,0
toilet,"A practical English term meaning tuvalet, used in daily work-life communication.",False,0
course,"An education and learning term meaning kurs / süreç, used for self-study, courses or technical learning.",False,0
learn,"To learn something in a work, site or daily communication context.",False,0
lesson,"An education and learning term meaning ders, used for self-study, courses or technical learning.",False,0
meaning,"A practical English term meaning anlam, used in daily work-life communication.",False,0
mistake,"A practical English term meaning hata, used in daily work-life communication.",False,0
sentence,"A practical English term meaning cümle, used in daily work-life communication.",False,0
student,"An adjective meaning “öğrenci”, used to describe a condition, issue, status or requirement.",False,0
hundred,"A practical English term meaning yüz, used in daily work-life communication.",False,0
level,"A practical English term meaning seviye, used in daily work-life communication.",False,0
strong,"A practical English term meaning güçlü / sağlam, used in daily work-life communication.",False,0
area,"A practical English term meaning alan / bölge, used in daily work-life communication.",False,0
center,"A practical English term meaning merkez, used in daily work-life communication.",False,0
centre,"A practical English term meaning merkez, used in daily work-life communication.",False,0
group,"A practical English term meaning grup, used in daily work-life communication.",False,0
station,"A practical English term meaning istasyon, used in daily work-life communication.",False,0
afraid,"A practical English term meaning korkmuş, used in daily work-life communication.",False,0
beautiful,"An adjective meaning “güzel”, used to describe a condition, issue, status or requirement.",False,0
cafe,"A practical English term meaning kafe, used in daily work-life communication.",False,0
cinema,"A practical English term meaning sinema, used in daily work-life communication.",False,0
friend,"A social and cultural English term meaning arkadaş, used in small talk, casual conversation or culture discussions.",False,0
guest,"A practical English term meaning misafir, used in daily work-life communication.",False,0
holiday,"A practical English term meaning tatil, used in daily work-life communication.",False,0
people,"A practical English term meaning insanlar, used in daily work-life communication.",False,0
weekend,"A practical English term meaning hafta sonu, used in daily work-life communication.",False,0
system,"A practical English term meaning sistem, used in daily work-life communication.",False,0
tool,"A practical English term meaning alet, used in daily work-life communication.",False,0
airport,"A travel English term meaning havaalanı, used for airport, hotel, taxi, restaurant or relocation situations.",False,0
arrival,"An adjective meaning “varış”, used to describe a condition, issue, status or requirement.",False,0
backpack,"A practical English term meaning sırt çantası, used in daily work-life communication.",False,0
bike,"A practical English term meaning bisiklet, used in daily work-life communication.",False,0
book,"An education and learning term meaning kitap / rezervasyon yapmak, used for self-study, courses or technical learning.",False,0
departure,"A travel English term meaning kalkış / ayrılış, used for airport, hotel, taxi, restaurant or relocation situations.",False,0
flight,"A travel English term meaning uçuş, used for airport, hotel, taxi, restaurant or relocation situations.",False,0
hotel,"A travel English term meaning otel, used for airport, hotel, taxi, restaurant or relocation situations.",False,0
parking,"A practical English term meaning otopark, used in daily work-life communication.",False,0
passenger,"A practical English term meaning yolcu, used in daily work-life communication.",False,0
passport,"A travel English term meaning pasaport, used for airport, hotel, taxi, restaurant or relocation situations.",False,0
return,"To return something in a work, site or daily communication context.",False,0
ticket,"A travel English term meaning bilet / kayıt, used for airport, hotel, taxi, restaurant or relocation situations.",False,0
traffic,"An adjective meaning “trafik”, used to describe a condition, issue, status or requirement.",False,0
travel,"To travel something in a work, site or daily communication context.",False,0
vacation,"A practical English term meaning tatil, used in daily work-life communication.",False,0
village,"A practical English term meaning köy, used in daily work-life communication.",False,0
visit,"To visit something in a work, site or daily communication context.",False,0
weather,"A practical English term meaning hava durumu, used in daily work-life communication.",False,0
break,"A practical English term meaning ara / kırmak, used in daily work-life communication.",False,0
busy,"A practical English term meaning meşgul / yoğun, used in daily work-life communication.",False,0
desk,"A practical English term meaning masa / banko, used in daily work-life communication.",False,0
engineer,"A practical English term meaning mühendis, used in daily work-life communication.",False,0
office,"A practical English term meaning ofis, used in daily work-life communication.",False,0
work,"To work something in a work, site or daily communication context.",False,0
workplace,"A practical English term meaning iş yeri, used in daily work-life communication.",False,0
near,"A hse term meaning yakın, used in inspections, testing, safety or handover communication.",True,1
helmet,"A hse term meaning baret, used in inspections, testing, safety or handover communication.",True,1
dirty,"A hse term meaning kirli, used in inspections, testing, safety or handover communication.",True,1
exit,"A hse term meaning çıkış, used in inspections, testing, safety or handover communication.",True,1
fire,"A hse term meaning yangın, used in inspections, testing, safety or handover communication.",True,1
life,"A hse term meaning yaşam / can, used in inspections, testing, safety or handover communication.",True,1
heavy,"A hse term meaning ağır, used in inspections, testing, safety or handover communication.",True,1
careful,"An adjective meaning “dikkatli”, used to describe a condition, issue, status or requirement.",True,1
danger,"A hse term meaning tehlike, used in inspections, testing, safety or handover communication.",True,1
dangerous,"An adjective meaning “tehlikeli”, used to describe a condition, issue, status or requirement.",True,1
safe,"An adjective meaning “güvenli”, used to describe a condition, issue, status or requirement.",True,1
air,"A mechanical term meaning hava, used in site, drawing, installation or coordination contexts.",True,1
cold,"A mechanical term meaning soğuk, used in site, drawing, installation or coordination contexts.",True,1
hot,"A mechanical term meaning sıcak, used in site, drawing, installation or coordination contexts.",True,1
gas,"A mechanical term meaning gaz, used in site, drawing, installation or coordination contexts.",True,1
speed,"A mechanical term meaning hız, used in site, drawing, installation or coordination contexts.",True,1
water,"A mechanical term meaning su, used in site, drawing, installation or coordination contexts.",True,1
cheap,"A professional workplace term meaning ucuz, used in reports, meetings, emails or project coordination.",False,0
expensive,"An adjective meaning “pahalı”, used to describe a condition, issue, status or requirement.",False,0
price,"A professional workplace term meaning fiyat, used in reports, meetings, emails or project coordination.",False,0
shelf,"A professional workplace term meaning raf, used in reports, meetings, emails or project coordination.",False,0
make,"To make something in a work, site or daily communication context.",False,0
model,"A professional workplace term meaning model, used in reports, meetings, emails or project coordination.",False,0
letter,"A professional workplace term meaning mektup / harf, used in reports, meetings, emails or project coordination.",False,0
note,"A professional workplace term meaning not, used in reports, meetings, emails or project coordination.",False,0
list,"A professional workplace term meaning liste, used in reports, meetings, emails or project coordination.",False,0
sheet,"A professional workplace term meaning sayfa / levha, used in reports, meetings, emails or project coordination.",False,0
project,"A professional workplace term meaning proje, used in reports, meetings, emails or project coordination.",False,0
leave,"To leave something in a work, site or daily communication context.",False,0
meeting,"A professional workplace term meaning toplantı, used in reports, meetings, emails or project coordination.",False,0
minute,"A professional workplace term meaning tutanak / dakika, used in reports, meetings, emails or project coordination.",False,0
beginning,"A professional workplace term meaning başlangıç, used in reports, meetings, emails or project coordination.",False,0
early,"An adverb meaning “erken”, used to describe how or when an action is done.",False,0
future,"A professional workplace term meaning gelecek, used in reports, meetings, emails or project coordination.",False,0
situation,"A professional workplace term meaning durum, used in reports, meetings, emails or project coordination.",False,0
worker,"A professional workplace term meaning işçi / çalışan, used in reports, meetings, emails or project coordination.",False,0
company,"A professional workplace term meaning şirket, used in reports, meetings, emails or project coordination.",False,0
customer,"A professional workplace term meaning müşteri, used in reports, meetings, emails or project coordination.",False,0
team,"A professional workplace term meaning ekip, used in reports, meetings, emails or project coordination.",False,0
check,"To check something in a work, site or daily communication context.",True,1
checked,"A qa qc term meaning kontrol edilmiş, used in inspections, testing, safety or handover communication.",True,1
checking,"A qa qc term meaning kontrol etme, used in inspections, testing, safety or handover communication.",True,1
computer room,"A architecture term meaning computer odası, used in site, drawing, installation or coordination contexts.",True,1
control room,"A architecture term meaning kontrol odası, used in site, drawing, installation or coordination contexts.",True,1
emergency room,"A architecture term meaning acil odası, used in site, drawing, installation or coordination contexts.",True,1
meeting room,"A architecture term meaning toplantı odası, used in site, drawing, installation or coordination contexts.",True,1
architect,"A architecture term meaning mimar, used in site, drawing, installation or coordination contexts.",True,1
design,"A architecture term meaning tasarım / tasarlamak, used in site, drawing, installation or coordination contexts.",True,1
distance,"A architecture term meaning mesafe, used in site, drawing, installation or coordination contexts.",True,1
vertical,"An adjective meaning “dikey”, used to describe a condition, issue, status or requirement.",True,1
dimension,"A architecture term meaning ölçü / boyut, used in site, drawing, installation or coordination contexts.",True,1
drawing,"A architecture term meaning çizim, used in site, drawing, installation or coordination contexts.",True,1
surface,"A architecture term meaning yüzey, used in site, drawing, installation or coordination contexts.",True,1
outdoor,"A architecture term meaning dış mekân, used in site, drawing, installation or coordination contexts.",True,1
basement,"An adjective meaning “bodrum”, used to describe a condition, issue, status or requirement.",True,1
block,"A architecture term meaning blok / engellemek, used in site, drawing, installation or coordination contexts.",True,1
indoor,"A architecture term meaning iç mekân, used in site, drawing, installation or coordination contexts.",True,1
lobby,"A architecture term meaning lobi, used in site, drawing, installation or coordination contexts.",True,1
location,"A architecture term meaning konum / mahal, used in site, drawing, installation or coordination contexts.",True,1
zone,"A architecture term meaning bölge / zon, used in site, drawing, installation or coordination contexts.",True,1
finish,"To finish something in a work, site or daily communication context.",True,1
construction,"A civil term meaning inşaat, used in site, drawing, installation or coordination contexts.",True,1
crane,"A civil term meaning vinç, used in site, drawing, installation or coordination contexts.",True,1
paint,"A civil term meaning boyamak, used in site, drawing, installation or coordination contexts.",True,1
painted,"A civil term meaning boyanmış, used in site, drawing, installation or coordination contexts.",True,1
painting,"A civil term meaning boyama, used in site, drawing, installation or coordination contexts.",True,1
bridge,"A civil term meaning köprü, used in site, drawing, installation or coordination contexts.",True,1
cut,"A civil term meaning kesilmiş, used in site, drawing, installation or coordination contexts.",True,1
cutting,"A civil term meaning kesme, used in site, drawing, installation or coordination contexts.",True,1
fix,"To fix something in a work, site or daily communication context.",True,1
fixed,"A civil term meaning sabit / düzeltilmiş, used in site, drawing, installation or coordination contexts.",True,1
fixing,"A civil term meaning sabitleme / düzeltme, used in site, drawing, installation or coordination contexts.",True,1
bolt,"A civil term meaning cıvata, used in site, drawing, installation or coordination contexts.",True,1
plate,"A civil term meaning plaka / levha, used in site, drawing, installation or coordination contexts.",True,1
steel,"A civil term meaning çelik, used in site, drawing, installation or coordination contexts.",True,1
column,"A civil term meaning kolon / sütun, used in site, drawing, installation or coordination contexts.",True,1
concrete,"A civil term meaning beton, used in site, drawing, installation or coordination contexts.",True,1
structure,"A civil term meaning yapı / strüktür, used in site, drawing, installation or coordination contexts.",True,1
operate,"A commissioning term meaning işletmek / çalıştırmak, used in inspections, testing, safety or handover communication.",True,1
operated,"A commissioning term meaning çalıştırılmış, used in inspections, testing, safety or handover communication.",True,1
operating,"A commissioning term meaning işletme / çalıştırma, used in inspections, testing, safety or handover communication.",True,1
operation,"A commissioning term meaning işletme / çalışma, used in inspections, testing, safety or handover communication.",True,1
operator,"A commissioning term meaning operatör, used in inspections, testing, safety or handover communication.",True,1
measure,"To measure something in a work, site or daily communication context.",True,1
measured,"A commissioning term meaning ölçülmüş, used in inspections, testing, safety or handover communication.",True,1
measurement,"An adjective meaning “ölçüm”, used to describe a condition, issue, status or requirement.",True,1
measuring,"A commissioning term meaning ölçme, used in inspections, testing, safety or handover communication.",True,1
set,"A commissioning term meaning ayarlanmış, used in inspections, testing, safety or handover communication.",True,1
setting,"A commissioning term meaning ayarlama / kurma, used in inspections, testing, safety or handover communication.",True,1
test,"To test something in a work, site or daily communication context.",True,1
tested,"A commissioning term meaning test edilmiş, used in inspections, testing, safety or handover communication.",True,1
testing,"A commissioning term meaning test etme, used in inspections, testing, safety or handover communication.",True,1
speaker,"A electrical term meaning hoparlör / konuşmacı, used in site, drawing, installation or coordination contexts.",True,1
network,"A electrical term meaning ağ / şebeke, used in site, drawing, installation or coordination contexts.",True,1
router,"A electrical term meaning router / yönlendirici, used in site, drawing, installation or coordination contexts.",True,1
battery,"A electrical term meaning akü / batarya, used in site, drawing, installation or coordination contexts.",True,1
charge,"A electrical term meaning ücret / şarj etmek, used in site, drawing, installation or coordination contexts.",True,1
ladder,"A electrical term meaning merdiven / kablo merdiveni, used in site, drawing, installation or coordination contexts.",True,1
pull,"A electrical term meaning çekmek, used in site, drawing, installation or coordination contexts.",True,1
pulled,"A electrical term meaning çekilmiş, used in site, drawing, installation or coordination contexts.",True,1
pulling,"A electrical term meaning çekme, used in site, drawing, installation or coordination contexts.",True,1
cable,"An adjective meaning “kablo”, used to describe a condition, issue, status or requirement.",True,1
flexible,"An adjective meaning “esnek”, used to describe a condition, issue, status or requirement.",True,1
screen,"A electrical term meaning ekran / zırh ekranı, used in site, drawing, installation or coordination contexts.",True,1
section,"A electrical term meaning kesit / bölüm, used in site, drawing, installation or coordination contexts.",True,1
voice,"A electrical term meaning ses, used in site, drawing, installation or coordination contexts.",True,1
contact,"A electrical term meaning kontak / iletişim, used in site, drawing, installation or coordination contexts.",True,1
device,"A electrical term meaning cihaz, used in site, drawing, installation or coordination contexts.",True,1
control,"A electrical term meaning kontrol, used in site, drawing, installation or coordination contexts.",True,1
display,"A electrical term meaning ekran / göstermek, used in site, drawing, installation or coordination contexts.",True,1
input,"A electrical term meaning giriş, used in site, drawing, installation or coordination contexts.",True,1
sensor,"A electrical term meaning sensör, used in site, drawing, installation or coordination contexts.",True,1
signal,"An adjective meaning “sinyal”, used to describe a condition, issue, status or requirement.",True,1
diagram,"A electrical term meaning diyagram / şema, used in site, drawing, installation or coordination contexts.",True,1
earth,"A electrical term meaning toprak / topraklamak, used in site, drawing, installation or coordination contexts.",True,1
heat,"A electrical term meaning ısı / sıcaklık, used in site, drawing, installation or coordination contexts.",True,1
smoke,"A electrical term meaning duman, used in site, drawing, installation or coordination contexts.",True,1
safety cable,"A electrical term meaning Emniyet/Güvenlik Kablosu, used in site, drawing, installation or coordination contexts.",True,1
equipment,"An adjective meaning “ekipman”, used to describe a condition, issue, status or requirement.",True,1
fail,"A electrical term meaning arızalanmak / başarısız olmak, used in site, drawing, installation or coordination contexts.",True,1
failed,"A electrical term meaning arızalı / başarısız, used in site, drawing, installation or coordination contexts.",True,1
failing,"A electrical term meaning arızalanma / başarısız olma, used in site, drawing, installation or coordination contexts.",True,1
failure,"A electrical term meaning arıza / başarısızlık, used in site, drawing, installation or coordination contexts.",True,1
alarm,"A electrical term meaning alarm, used in site, drawing, installation or coordination contexts.",True,1
electric,"An adjective meaning “elektrikli”, used to describe a condition, issue, status or requirement.",True,1
electrical,"An adjective meaning “elektriksel / elektrik”, used to describe a condition, issue, status or requirement.",True,1
adapter,"A electrical term meaning adaptör, used in site, drawing, installation or coordination contexts.",True,1
charger,"A electrical term meaning şarj cihazı, used in site, drawing, installation or coordination contexts.",True,1
doorbell,"A electrical term meaning kapı zili, used in site, drawing, installation or coordination contexts.",True,1
smoke alarm,"A electrical term meaning duman alarmı, used in site, drawing, installation or coordination contexts.",True,1
connect,"To connect something in a work, site or daily communication context.",True,1
connected,"A electrical term meaning bağlı / bağlanmış, used in site, drawing, installation or coordination contexts.",True,1
connecting,"A electrical term meaning bağlama, used in site, drawing, installation or coordination contexts.",True,1
connection,"A electrical term meaning bağlantı, used in site, drawing, installation or coordination contexts.",True,1
install,"To install something in a work, site or daily communication context.",True,1
installation,"A electrical term meaning kurulum / montaj, used in site, drawing, installation or coordination contexts.",True,1
installed,"A electrical term meaning kurulmuş / monte edilmiş, used in site, drawing, installation or coordination contexts.",True,1
installing,"A electrical term meaning kurma / monte etme, used in site, drawing, installation or coordination contexts.",True,1
clip,"A electrical term meaning klips, used in site, drawing, installation or coordination contexts.",True,1
driver,"A electrical term meaning sürücü / driver, used in site, drawing, installation or coordination contexts.",True,1
led,"A electrical term meaning LED / ışık yayan diyot, used in site, drawing, installation or coordination contexts.",True,1
lighting,"A electrical term meaning aydınlatma, used in site, drawing, installation or coordination contexts.",True,1
daylight,"A electrical term meaning gün ışığı, used in site, drawing, installation or coordination contexts.",True,1
load,"A electrical term meaning yük, used in site, drawing, installation or coordination contexts.",True,1
aluminium,"A electrical term meaning alüminyum, used in site, drawing, installation or coordination contexts.",True,1
aluminum,"A electrical term meaning alüminyum, used in site, drawing, installation or coordination contexts.",True,1
copper,"A electrical term meaning bakır, used in site, drawing, installation or coordination contexts.",True,1
meter,"A electrical term meaning sayaç / metre, used in site, drawing, installation or coordination contexts.",True,1
monitor,"A electrical term meaning izlemek, used in site, drawing, installation or coordination contexts.",True,1
monitored,"A electrical term meaning izlenmiş, used in site, drawing, installation or coordination contexts.",True,1
monitoring,"A electrical term meaning izleme, used in site, drawing, installation or coordination contexts.",True,1
monitorring,"A electrical term meaning izleme, used in site, drawing, installation or coordination contexts.",True,1
board,"A electrical term meaning pano / tahta, used in site, drawing, installation or coordination contexts.",True,1
cabinet,"A electrical term meaning kabin / dolap, used in site, drawing, installation or coordination contexts.",True,1
panel,"A electrical term meaning pano / panel, used in site, drawing, installation or coordination contexts.",True,1
ampere,"A electrical term meaning amper, used in site, drawing, installation or coordination contexts.",True,1
current,"An adjective meaning “akım / mevcut”, used to describe a condition, issue, status or requirement.",True,1
