term,definition,category
galvanized,"A civil term meaning galvanizli, used in site, drawing, installation or coordination contexts.",materials
grating,"A civil term meaning ızgara, used in site, drawing, installation or coordination contexts.",materials
grout,"A civil term meaning grout / dolgu harcı, used in site, drawing, installation or coordination contexts.",materials
membrane,"A civil term meaning membran, used in site, drawing, installation or coordination contexts.",materials
moisture,"A civil term meaning nem / rutubet, used in site, drawing, installation or coordination contexts.",materials
mold,"A civil term meaning kalıp / küf, used in site, drawing, installation or coordination contexts.",materials
sealant,"An adjective meaning “sızdırmazlık malzemesi”, used to describe a condition, issue, status or requirement.",materials
dampness,"A civil term meaning rutubet, used in site, drawing, installation or coordination contexts.",quality
scaffolding,"A civil term meaning iskele sistemi, used in site, drawing, installation or coordination contexts.",site
acre,"A civil term meaning dönüm / acre, used in site, drawing, installation or coordination contexts.",site area
boundary,"An adjective meaning “sınır”, used to describe a condition, issue, status or requirement.",site area
brace,"A civil term meaning kuşak / çapraz destek, used in site, drawing, installation or coordination contexts.",structure
bracing,"A civil term meaning çapraz destekleme, used in site, drawing, installation or coordination contexts.",structure
deformation,"A civil term meaning deformasyon, used in site, drawing, installation or coordination contexts.",structure
lateral,"An adjective meaning “yatay / yanal”, used to describe a condition, issue, status or requirement.",structure
masonry,"A civil term meaning yığma / duvar işleri, used in site, drawing, installation or coordination contexts.",structure
plinth,"A civil term meaning kaide, used in site, drawing, installation or coordination contexts.",structure
seismic,"An adjective meaning “sismik / depremle ilgili”, used to describe a condition, issue, status or requirement.",structure
soffit,"A civil term meaning döşeme alt yüzeyi, used in site, drawing, installation or coordination contexts.",building
deflection,"A civil term meaning sehim / sapma, used in site, drawing, installation or coordination contexts.",calculation
mesh,"A civil term meaning örgü / tel örgü, used in site, drawing, installation or coordination contexts.",civil / building elements
perforated,"A civil term meaning delikli, used in site, drawing, installation or coordination contexts.",civil / building elements
galvanized steel conduits,"A civil term meaning galvanizli çelik conduits, used in site, drawing, installation or coordination contexts.",civil construction
satin stainless steel,"A civil term meaning saten paslanmaz çelik, used in site, drawing, installation or coordination contexts.",civil construction
chamfer,"A civil term meaning pah / pah kırmak, used in site, drawing, installation or coordination contexts.",construction
embankment,"An adjective meaning “dolgu şev / set”, used to describe a condition, issue, status or requirement.",construction
elastomeric,"An adjective meaning “elastomerik”, used to describe a condition, issue, status or requirement.",materials
impermeable,"An adjective meaning “geçirimsiz”, used to describe a condition, issue, status or requirement.",materials
passivation,"A civil term meaning pasivasyon, used in site, drawing, installation or coordination contexts.",materials
levelness,"A civil term meaning terazi / düzlemsellik, used in site, drawing, installation or coordination contexts.",quality
verticality,"A civil term meaning düşeylik, used in site, drawing, installation or coordination contexts.",quality control
cantilever,"A civil term meaning konsol çıkma, used in site, drawing, installation or coordination contexts.",structure
stiffness,"A civil term meaning rijitlik, used in site, drawing, installation or coordination contexts.",structure
cement,"A civil term meaning çimento, used in site, drawing, installation or coordination contexts.",concrete works
sand,"A civil term meaning kum, used in site, drawing, installation or coordination contexts.",concrete works
gravel,"A civil term meaning çakıl, used in site, drawing, installation or coordination contexts.",concrete works
concrete mix,"A civil term meaning beton karışımı, used in site, drawing, installation or coordination contexts.",concrete works
ready-mix concrete,"A civil term meaning hazır beton, used in site, drawing, installation or coordination contexts.",concrete works
concrete pour,"A civil term meaning beton dökümü, used in site, drawing, installation or coordination contexts.",concrete works
concrete curing,"A civil term meaning beton kürü, used in site, drawing, installation or coordination contexts.",concrete works
slump test,"A civil term meaning çökme testi, used in site, drawing, installation or coordination contexts.",concrete works
compressive strength,"A civil term meaning basınç dayanımı, used in site, drawing, installation or coordination contexts.",concrete works
concrete cube test,"A civil term meaning beton küp testi, used in site, drawing, installation or coordination contexts.",concrete works
water-cement ratio,"A civil term meaning su-çimento oranı, used in site, drawing, installation or coordination contexts.",concrete works
concrete cover,"A civil term meaning beton örtüsü / pas payı, used in site, drawing, installation or coordination contexts.",concrete works
honeycombing,"A civil term meaning petek görünümü (beton kusuru), used in site, drawing, installation or coordination contexts.",concrete works
cold joint,"A civil term meaning soğuk derz, used in site, drawing, installation or coordination contexts.",concrete works
concrete admixture,"A civil term meaning beton katkı maddesi, used in site, drawing, installation or coordination contexts.",concrete works
shrinkage crack,"A civil term meaning büzülme çatlağı, used in site, drawing, installation or coordination contexts.",concrete works
precast concrete,"A civil term meaning prefabrik beton, used in site, drawing, installation or coordination contexts.",concrete works
in-situ concrete,"A civil term meaning yerinde döküm beton, used in site, drawing, installation or coordination contexts.",concrete works
screed,"A civil term meaning şap, used in site, drawing, installation or coordination contexts.",concrete works
concrete finishing,"A civil term meaning beton yüzey bitirme, used in site, drawing, installation or coordination contexts.",concrete works
expansion joint (concrete),"A civil term meaning genleşme derzi (beton), used in site, drawing, installation or coordination contexts.",concrete works
construction joint,"A civil term meaning inşaat derzi, used in site, drawing, installation or coordination contexts.",concrete works
concrete batching plant,"A civil term meaning beton santrali, used in site, drawing, installation or coordination contexts.",concrete works
self-compacting concrete,"A civil term meaning kendiliğinden yerleşen beton, used in site, drawing, installation or coordination contexts.",concrete works
reinforced concrete,"A civil term meaning betonarme, used in site, drawing, installation or coordination contexts.",concrete works
concrete pump,"A civil term meaning beton pompası, used in site, drawing, installation or coordination contexts.",concrete works
vibrator (concrete),"A civil term meaning vibratör (beton), used in site, drawing, installation or coordination contexts.",concrete works
formwork stripping time,"A civil term meaning kalıp söküm süresi, used in site, drawing, installation or coordination contexts.",concrete works
plain concrete,"A civil term meaning sade beton, used in site, drawing, installation or coordination contexts.",concrete works
concrete grade,"A civil term meaning beton sınıfı, used in site, drawing, installation or coordination contexts.",concrete works
workability (concrete),"A civil term meaning işlenebilirlik (beton), used in site, drawing, installation or coordination contexts.",concrete works
air-entrained concrete,"A civil term meaning hava sürüklenmiş beton, used in site, drawing, installation or coordination contexts.",concrete works
high-strength concrete,"A civil term meaning yüksek dayanımlı beton, used in site, drawing, installation or coordination contexts.",concrete works
concrete durability,"A civil term meaning beton dayanıklılığı, used in site, drawing, installation or coordination contexts.",concrete works
carbonation,"A civil term meaning karbonatlaşma, used in site, drawing, installation or coordination contexts.",concrete works
chloride attack,"A civil term meaning klorür saldırısı, used in site, drawing, installation or coordination contexts.",concrete works
alkali-silica reaction,"A civil term meaning alkali-silika reaksiyonu, used in site, drawing, installation or coordination contexts.",concrete works
concrete repair,"A civil term meaning beton onarımı, used in site, drawing, installation or coordination contexts.",concrete works
shotcrete,"A civil term meaning püskürtme beton, used in site, drawing, installation or coordination contexts.",concrete works
mass concrete,"A civil term meaning kütle beton, used in site, drawing, installation or coordination contexts.",concrete works
hydration heat,"A civil term meaning hidratasyon ısısı, used in site, drawing, installation or coordination contexts.",concrete works
concrete segregation,"A civil term meaning beton ayrışması, used in site, drawing, installation or coordination contexts.",concrete works
bleeding (concrete),"A civil term meaning terleme (beton), used in site, drawing, installation or coordination contexts.",concrete works
plasticizer,"A civil term meaning plastikleştirici, used in site, drawing, installation or coordination contexts.",concrete works
superplasticizer,"A civil term meaning süper akışkanlaştırıcı, used in site, drawing, installation or coordination contexts.",concrete works
fly ash,"A civil term meaning uçucu kül, used in site, drawing, installation or coordination contexts.",concrete works
silica fume,"A civil term meaning silis dumanı, used in site, drawing, installation or coordination contexts.",concrete works
early age cracking,"A civil term meaning erken yaş çatlaması, used in site, drawing, installation or coordination contexts.",concrete works
steel beam,"A civil term meaning çelik kiriş, used in site, drawing, installation or coordination contexts.",structural steel
steel column,"A civil term meaning çelik kolon, used in site, drawing, installation or coordination contexts.",structural steel
I-beam,"A civil term meaning I profil kiriş, used in site, drawing, installation or coordination contexts.",structural steel
H-section,"A civil term meaning H profil, used in site, drawing, installation or coordination contexts.",structural steel
steel frame,"A civil term meaning çelik iskelet, used in site, drawing, installation or coordination contexts.",structural steel
bolted connection,"A civil term meaning cıvatalı bağlantı, used in site, drawing, installation or coordination contexts.",structural steel
welded connection,"A civil term meaning kaynaklı bağlantı, used in site, drawing, installation or coordination contexts.",structural steel
base plate,"A civil term meaning temel plakası, used in site, drawing, installation or coordination contexts.",structural steel
gusset plate,"A civil term meaning takviye plakası, used in site, drawing, installation or coordination contexts.",structural steel
steel truss,"A civil term meaning çelik kafes kiriş, used in site, drawing, installation or coordination contexts.",structural steel
purlin,"A civil term meaning aşık (çatı), used in site, drawing, installation or coordination contexts.",structural steel
bracing (steel),"A civil term meaning çaprazlama (çelik), used in site, drawing, installation or coordination contexts.",structural steel
steel erection,"A civil term meaning çelik montajı, used in site, drawing, installation or coordination contexts.",structural steel
shop drawing (steel),"A civil term meaning imalat çizimi (çelik), used in site, drawing, installation or coordination contexts.",structural steel
steel fabrication,"A civil term meaning çelik imalatı, used in site, drawing, installation or coordination contexts.",structural steel
corrosion protection coating,"A civil term meaning korozyon koruma kaplaması, used in site, drawing, installation or coordination contexts.",structural steel
fireproofing (steel),"A civil term meaning yangına dayanıklılık kaplaması, used in site, drawing, installation or coordination contexts.",structural steel
mill certificate,"A civil term meaning fabrika sertifikası, used in site, drawing, installation or coordination contexts.",structural steel
steel section,"A civil term meaning çelik profil, used in site, drawing, installation or coordination contexts.",structural steel
high-strength bolt,"A civil term meaning yüksek dayanımlı cıvata, used in site, drawing, installation or coordination contexts.",structural steel
moment connection,"A civil term meaning moment bağlantısı, used in site, drawing, installation or coordination contexts.",structural steel
shear connection,"A civil term meaning kayma bağlantısı, used in site, drawing, installation or coordination contexts.",structural steel
steel deck,"A civil term meaning çelik döşeme sacı, used in site, drawing, installation or coordination contexts.",structural steel
composite steel deck,"A civil term meaning kompozit çelik döşeme, used in site, drawing, installation or coordination contexts.",structural steel
stiffener plate,"A civil term meaning takviye plakası (kiriş), used in site, drawing, installation or coordination contexts.",structural steel
weld inspection (structural),"A civil term meaning kaynak muayenesi (yapısal), used in site, drawing, installation or coordination contexts.",structural steel
steel grade,"A civil term meaning çelik sınıfı, used in site, drawing, installation or coordination contexts.",structural steel
hot-rolled steel,"A civil term meaning sıcak haddelenmiş çelik, used in site, drawing, installation or coordination contexts.",structural steel
cold-formed steel,"A civil term meaning soğuk şekillendirilmiş çelik, used in site, drawing, installation or coordination contexts.",structural steel
fatigue design (steel),"A civil term meaning yorulma tasarımı (çelik), used in site, drawing, installation or coordination contexts.",structural steel
lateral torsional buckling,"A civil term meaning yanal burulmalı burkulma, used in site, drawing, installation or coordination contexts.",structural steel
footing,"A civil term meaning temel ayağı, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
pile,"A civil term meaning kazık, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
pile cap,"A civil term meaning kazık başlığı, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
raft foundation,"A civil term meaning radye temel, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
strip footing,"A civil term meaning şerit temel, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
bearing capacity (soil),"A civil term meaning zemin taşıma kapasitesi, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
soil test,"A civil term meaning zemin testi, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
borehole,"A civil term meaning sondaj kuyusu, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
geotechnical report,"A civil term meaning geoteknik rapor, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
settlement (soil),"A civil term meaning oturma (zemin), used in site, drawing, installation or coordination contexts.",foundations & geotechnical
soil compaction,"A civil term meaning zemin sıkıştırma, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
plate load test,"A civil term meaning plaka yükleme testi, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
standard penetration test,"A civil term meaning standart penetrasyon testi, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
groundwater level,"A civil term meaning yeraltı su seviyesi, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
dewatering,"A civil term meaning susuzlaştırma, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
retaining wall,"A civil term meaning istinat duvarı, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
sheet pile wall,"A civil term meaning palplanş duvar, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
underpinning,"A civil term meaning temel takviyesi, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
soil bearing pressure,"A civil term meaning zemin taşıma basıncı, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
liquefaction,"A civil term meaning sıvılaşma, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
slope stability,"A civil term meaning şev stabilitesi, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
geotextile,"A civil term meaning jeotekstil, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
pile driving,"A civil term meaning kazık çakma, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
bored pile,"A civil term meaning fore kazık, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
soil investigation,"A civil term meaning zemin araştırması, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
triaxial test,"A civil term meaning üç eksenli test, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
consolidation test,"A civil term meaning konsolidasyon testi, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
shear strength (soil),"A civil term meaning kayma mukavemeti (zemin), used in site, drawing, installation or coordination contexts.",foundations & geotechnical
cohesion (soil),"A civil term meaning kohezyon (zemin), used in site, drawing, installation or coordination contexts.",foundations & geotechnical
differential settlement,"A civil term meaning farklı oturma, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
negative skin friction,"A civil term meaning negatif çevresel sürtünme, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
micropile,"A civil term meaning mikro kazık, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
soil nailing,"A civil term meaning zemin çivileme, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
ground improvement,"A civil term meaning zemin iyileştirme, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
jet grouting,"A civil term meaning jet grout, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
pile load test,"A civil term meaning kazık yükleme testi, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
ground anchor,"A civil term meaning zemin ankrajı, used in site, drawing, installation or coordination contexts.",foundations & geotechnical
trench,"A civil term meaning hendek, used in site, drawing, installation or coordination contexts.",earthworks & excavation
cut and fill,"A civil term meaning yarma ve dolgu, used in site, drawing, installation or coordination contexts.",earthworks & excavation
grading (earthworks),"A civil term meaning tesviye, used in site, drawing, installation or coordination contexts.",earthworks & excavation
topsoil,"A civil term meaning üst toprak, used in site, drawing, installation or coordination contexts.",earthworks & excavation
subgrade,"A civil term meaning alt zemin, used in site, drawing, installation or coordination contexts.",earthworks & excavation
shoring,"A civil term meaning iksa, used in site, drawing, installation or coordination contexts.",earthworks & excavation
excavator,"A civil term meaning ekskavatör, used in site, drawing, installation or coordination contexts.",earthworks & excavation
bulldozer,"A civil term meaning buldozer, used in site, drawing, installation or coordination contexts.",earthworks & excavation
compactor,"A civil term meaning sıkıştırma makinesi, used in site, drawing, installation or coordination contexts.",earthworks & excavation
spoil,"A civil term meaning atık hafriyat / fazla toprak, used in site, drawing, installation or coordination contexts.",earthworks & excavation
slope batter,"A civil term meaning şev eğimi, used in site, drawing, installation or coordination contexts.",earthworks & excavation
earthwork volume calculation,"A civil term meaning hafriyat hacim hesabı, used in site, drawing, installation or coordination contexts.",earthworks & excavation
dozer,"A civil term meaning dozer, used in site, drawing, installation or coordination contexts.",earthworks & excavation
grader,"A civil term meaning greyder, used in site, drawing, installation or coordination contexts.",earthworks & excavation
deep excavation,"A civil term meaning derin kazı, used in site, drawing, installation or coordination contexts.",earthworks & excavation
open excavation,"A civil term meaning açık kazı, used in site, drawing, installation or coordination contexts.",earthworks & excavation
excavation support system,"A civil term meaning kazı destek sistemi, used in site, drawing, installation or coordination contexts.",earthworks & excavation
berm,"A civil term meaning berma, used in site, drawing, installation or coordination contexts.",earthworks & excavation
stockpile,"A civil term meaning stok sahası / yığın, used in site, drawing, installation or coordination contexts.",earthworks & excavation
earthwork balance,"A civil term meaning hafriyat dengesi, used in site, drawing, installation or coordination contexts.",earthworks & excavation
shuttering,"A civil term meaning kalıp işleri, used in site, drawing, installation or coordination contexts.",formwork
plywood formwork,"A civil term meaning kontrplak kalıp, used in site, drawing, installation or coordination contexts.",formwork
steel formwork,"A civil term meaning çelik kalıp, used in site, drawing, installation or coordination contexts.",formwork
falsework,"A civil term meaning yardımcı iskele / şalıman, used in site, drawing, installation or coordination contexts.",formwork
prop (formwork),"A civil term meaning payanda / dikme, used in site, drawing, installation or coordination contexts.",formwork
form tie,"A civil term meaning kalıp bağlantı elemanı, used in site, drawing, installation or coordination contexts.",formwork
formwork panel,"A civil term meaning kalıp paneli, used in site, drawing, installation or coordination contexts.",formwork
striking time,"A civil term meaning kalıp söküm zamanı, used in site, drawing, installation or coordination contexts.",formwork
release agent,"A civil term meaning kalıp yağı, used in site, drawing, installation or coordination contexts.",formwork
column formwork,"A civil term meaning kolon kalıbı, used in site, drawing, installation or coordination contexts.",formwork
slab formwork,"A civil term meaning döşeme kalıbı, used in site, drawing, installation or coordination contexts.",formwork
wall formwork,"A civil term meaning duvar kalıbı, used in site, drawing, installation or coordination contexts.",formwork
reinforcement bar,"A civil term meaning donatı çubuğu, used in site, drawing, installation or coordination contexts.",reinforcement
stirrup,"A civil term meaning etriye, used in site, drawing, installation or coordination contexts.",reinforcement
tie bar,"A civil term meaning bağlantı çubuğu, used in site, drawing, installation or coordination contexts.",reinforcement
rebar spacing,"A civil term meaning donatı aralığı, used in site, drawing, installation or coordination contexts.",reinforcement
lap length,"A civil term meaning bindirme boyu, used in site, drawing, installation or coordination contexts.",reinforcement
bar bending schedule,"A civil term meaning demir büküm listesi, used in site, drawing, installation or coordination contexts.",reinforcement
mesh reinforcement,"A civil term meaning hasır çelik, used in site, drawing, installation or coordination contexts.",reinforcement
dowel bar,"A civil term meaning kenetleme çubuğu, used in site, drawing, installation or coordination contexts.",reinforcement
cover block,"A civil term meaning pas payı takozu, used in site, drawing, installation or coordination contexts.",reinforcement
reinforcement cage,"A civil term meaning donatı kafesi, used in site, drawing, installation or coordination contexts.",reinforcement
anchorage length,"A civil term meaning ankraj boyu, used in site, drawing, installation or coordination contexts.",reinforcement
rebar coupler,"A civil term meaning donatı kuplajı, used in site, drawing, installation or coordination contexts.",reinforcement
rebar cutting,"A civil term meaning donatı kesimi, used in site, drawing, installation or coordination contexts.",reinforcement
rebar bending machine,"A civil term meaning demir büküm makinesi, used in site, drawing, installation or coordination contexts.",reinforcement
asphalt,"A civil term meaning asfalt, used in site, drawing, installation or coordination contexts.",road & highway
road base,"A civil term meaning yol alt yapısı, used in site, drawing, installation or coordination contexts.",road & highway
sub-base,"A civil term meaning alt temel, used in site, drawing, installation or coordination contexts.",road & highway
pavement,"A civil term meaning kaplama / yol yüzeyi, used in site, drawing, installation or coordination contexts.",road & highway
kerb,"A civil term meaning bordür, used in site, drawing, installation or coordination contexts.",road & highway
